site_id,region,country,site_type,operator,latitude,longitude,DOA,FIRMWARE,INTERMITTENT,MECH_DAMAGE,NO_POWER,OTHER,OVERHEAT,RF_FAULT
ST-00052,EMEA,Poland,Cell Site,Telia,59.12389,-8.26284,3,1,3,4,1,3,0,3
ST-00053,EMEA,Poland,Warehouse,,51.02351,-9.27001,1,5,3,0,4,1,0,1
ST-00054,AMER,Mexico,Integration Center,,-16.64236,-81.44099,4,4,1,1,2,2,3,5
ST-00055,EMEA,Italy,Integration Center,,38.95683,29.55295,3,4,2,2,1,1,2,1
ST-00056,AMER,USA,Cell Site,Verizon,34.57112,-65.96582,3,2,4,2,2,3,2,4
ST-00057,EMEA,Sweden,Cell Site,Deutsche Telekom,59.47676,16.99075,1,5,1,0,3,3,1,5
ST-00058,EMEA,UK,Cell Site,Telefónica,41.66495,20.27815,2,5,3,3,3,2,1,6
ST-00059,EMEA,Netherlands,Cell Site,Telia,49.60778,0.69996,3,5,2,1,2,2,0,2
ST-00060,EMEA,Poland,Cell Site,Telenor,44.18211,14.31472,1,5,1,3,1,2,3,2
ST-00061,EMEA,Italy,Cell Site,Deutsche Telekom,44.88636,-0.59472,1,1,2,2,2,5,2,9
ST-00062,EMEA,Czechia,Cell Site,Deutsche Telekom,45.74808,-0.65597,3,1,4,1,4,5,2,1
ST-00063,APAC,Australia,Cell Site,Telstra,35.12931,124.70368,1,2,2,2,2,3,2,6
ST-00064,APAC,Australia,Cell Site,SK Telecom,15.68496,137.27205,4,3,1,2,1,2,1,1
ST-00065,APAC,India,Cell Site,SK Telecom,16.16899,118.72346,1,1,0,3,1,1,0,6
ST-00066,EMEA,Germany,Data Center,Telefónica,47.7968,-5.12334,2,2,3,3,2,4,0,2
ST-00067,APAC,Malaysia,Cell Site,NTT Docomo,17.52789,93.87728,5,2,1,2,2,1,0,3
ST-00068,EMEA,Sweden,Data Center,A1 Telekom,39.26378,21.50113,3,6,0,1,3,4,1,1
ST-00069,EMEA,UK,Cell Site,Vodafone,42.56655,-6.44176,3,1,2,1,6,2,2,6
ST-00070,APAC,Indonesia,Warehouse,,29.03939,130.11983,2,6,1,2,1,5,2,4
ST-00071,AMER,Mexico,Cell Site,Rogers,17.02697,-63.37553,5,4,6,3,4,6,0,6
ST-00072,EMEA,UK,Warehouse,,56.23607,12.10852,5,2,3,1,4,3,3,3
ST-00073,AMER,USA,Integration Center,,31.33094,-86.83033,1,0,2,3,2,2,0,4
ST-00074,EMEA,Poland,Cell Site,Telia,50.90712,29.07713,1,2,0,2,0,4,4,3
ST-00075,EMEA,Spain,Integration Center,,54.99681,4.98147,1,3,3,4,1,3,2,4
ST-00076,AMER,Canada,Integration Center,,48.91293,-66.99454,2,2,0,2,3,5,1,5
ST-00077,EMEA,Italy,Cell Site,Telia,35.93053,19.8402,0,1,3,2,2,3,1,3
ST-00078,AMER,Argentina,Integration Center,,52.87593,-87.29174,2,2,1,2,1,3,1,3
ST-00079,EMEA,Sweden,Warehouse,,41.88341,15.60268,3,4,1,1,2,5,0,5
ST-00080,EMEA,Poland,Cell Site,Deutsche Telekom,37.75305,16.99904,4,2,1,2,1,5,3,4
ST-00081,APAC,India,Cell Site,Telstra,9.8366,112.57655,2,3,0,0,1,7,1,4
ST-00082,EMEA,Spain,Cell Site,Telenor,57.29926,21.87149,4,1,0,2,3,2,3,1
ST-00083,AMER,Colombia,Cell Site,Claro,-25.28072,-69.54462,0,8,1,0,2,2,3,4
ST-00084,EMEA,Sweden,Cell Site,A1 Telekom,45.29277,29.77767,4,3,0,1,2,3,0,5
ST-00085,EMEA,Austria,Cell Site,Orange,42.4934,8.82397,3,0,1,0,2,1,1,5
ST-00086,EMEA,France,Cell Site,Vodafone,43.52944,13.44771,3,3,4,1,1,3,1,7
ST-00087,EMEA,Czechia,Warehouse,,41.64689,26.50587,3,3,3,2,1,6,1,2
ST-00088,EMEA,Germany,Cell Site,Telefónica,50.42473,27.70839,1,3,1,5,1,5,0,4
ST-00089,EMEA,Germany,Cell Site,Orange,52.01294,-2.56662,3,3,1,5,3,3,2,3
ST-00090,APAC,Malaysia,Cell Site,Singtel,1.60137,110.37887,7,2,0,3,4,5,2,2
ST-00091,AMER,Chile,Cell Site,Verizon,54.41595,-64.92289,3,0,3,2,3,2,0,4
ST-00092,EMEA,France,Cell Site,Telefónica,56.17004,12.74737,6,1,1,1,2,5,2,7
ST-00093,EMEA,Netherlands,Cell Site,Deutsche Telekom,37.37098,-9.393,2,5,2,0,1,1,1,4
ST-00094,APAC,Thailand,Warehouse,,33.70629,98.86963,1,3,2,4,0,3,1,4
ST-00095,EMEA,France,Cell Site,Telia,36.91743,18.39024,4,1,1,0,1,6,2,3
ST-00096,EMEA,Germany,Cell Site,Telefónica,35.02936,19.6327,5,4,1,3,2,0,2,1
ST-00097,EMEA,France,Cell Site,Telefónica,39.80829,2.85578,2,5,1,3,2,6,1,1
ST-00098,APAC,Thailand,Cell Site,Maxis,7.69621,128.8574,0,5,0,1,1,4,4,2
ST-00099,EMEA,UK,Integration Center,,47.11932,-3.36681,1,4,6,2,1,3,2,3
ST-00100,EMEA,France,Integration Center,,35.96328,29.46838,4,3,2,0,2,7,0,3
ST-00101,APAC,India,Cell Site,NTT Docomo,28.86033,123.99762,3,6,2,2,3,5,0,3
ST-00102,APAC,Australia,Cell Site,Maxis,20.60955,111.74931,6,1,0,3,4,2,2,3
ST-00103,AMER,Brazil,Warehouse,,36.63681,-66.9357,3,5,0,0,2,3,2,4
ST-00104,EMEA,Germany,Warehouse,,36.52753,24.37682,2,0,2,3,2,4,1,7
ST-00105,APAC,Thailand,Cell Site,Bharti Airtel,30.70046,114.31064,3,5,1,1,3,3,1,0
ST-00106,EMEA,Germany,Cell Site,Telenor,46.90811,23.39187,1,4,3,0,1,2,0,2
ST-00107,APAC,Australia,Warehouse,,31.94892,96.93984,1,2,1,4,2,2,1,7
ST-00108,EMEA,Netherlands,Cell Site,Three,48.72989,28.7743,2,3,1,3,1,4,5,1
ST-00109,APAC,Indonesia,Cell Site,SK Telecom,29.68301,138.64891,3,3,3,1,0,6,2,3
ST-00110,EMEA,Austria,Warehouse,,54.39994,10.98646,3,3,4,1,3,2,2,5
ST-00111,EMEA,France,Integration Center,,50.12257,18.37654,1,3,4,5,2,5,4,3
ST-00112,EMEA,Czechia,Data Center,Telenor,53.22067,19.90235,2,2,2,1,3,1,2,5
ST-00113,EMEA,Netherlands,Warehouse,,58.25648,2.3666,3,4,2,0,4,2,1,2
ST-00114,AMER,Mexico,Cell Site,Rogers,39.65253,-77.21273,1,3,1,5,3,2,2,9
ST-00115,APAC,India,Cell Site,Telstra,35.52786,121.55469,1,5,4,2,2,4,3,4
ST-00116,APAC,South Korea,Warehouse,,37.4708,111.20168,1,1,2,1,3,5,1,8
ST-00117,EMEA,Sweden,Warehouse,,37.48232,15.79453,0,9,6,4,3,2,2,3
ST-00118,EMEA,Netherlands,Cell Site,Telia,54.36474,17.65737,2,4,1,1,3,1,1,2
ST-00119,APAC,India,Cell Site,SK Telecom,29.27428,91.44403,2,5,0,2,3,2,1,4
ST-00120,APAC,Thailand,Warehouse,,38.63203,103.20897,0,2,0,1,5,3,3,2
ST-00121,EMEA,Germany,Cell Site,Telia,45.34655,6.73691,2,5,1,1,6,2,0,4
ST-00122,EMEA,Germany,Cell Site,Vodafone,57.66889,19.75199,3,7,3,2,1,4,0,3
ST-00123,EMEA,Netherlands,Cell Site,Vodafone,50.50516,-5.20111,4,4,5,2,2,5,1,4
ST-00124,EMEA,Sweden,Cell Site,Telia,43.08575,9.67086,2,2,5,2,3,3,2,2
ST-00125,EMEA,Italy,Warehouse,,37.87253,12.85231,2,3,4,3,1,2,0,5
ST-00126,AMER,Chile,Cell Site,Claro,-15.70932,-67.02043,2,2,5,1,3,5,2,3
ST-00127,AMER,Chile,Cell Site,T-Mobile US,39.60449,-76.04217,3,4,3,2,2,7,1,6
ST-00128,EMEA,Netherlands,Cell Site,Three,43.98754,-8.21779,1,2,4,2,0,1,4,3
ST-00129,APAC,India,Cell Site,NTT Docomo,25.53055,129.2293,1,4,1,1,0,5,0,8
ST-00130,APAC,China,Cell Site,Maxis,31.82556,114.22347,3,2,1,1,2,3,2,5
ST-00131,APAC,Singapore,Cell Site,Maxis,6.47654,93.2407,2,4,0,3,2,3,0,1
ST-00132,EMEA,France,Cell Site,Telefónica,36.39325,-0.0209,2,0,2,2,4,1,1,5
ST-00133,EMEA,Germany,Cell Site,Three,38.53712,-3.24532,3,3,1,2,2,5,0,8
ST-00134,AMER,Brazil,Data Center,Bell,27.90935,-92.81971,2,4,2,3,3,2,1,4
ST-00135,EMEA,Netherlands,Cell Site,Deutsche Telekom,52.30838,4.06438,3,4,1,2,0,3,1,5
ST-00136,APAC,Indonesia,Integration Center,,31.21636,97.95271,2,5,1,0,1,2,0,8
ST-00137,EMEA,Sweden,Cell Site,A1 Telekom,35.58414,-6.43122,1,5,1,1,3,7,6,6
ST-00138,AMER,Canada,Warehouse,,51.95331,-78.482,3,2,3,0,3,5,2,2
ST-00139,EMEA,Austria,Cell Site,Vodafone,50.17577,28.68023,0,2,2,1,2,2,1,3
ST-00140,EMEA,Sweden,Cell Site,Telefónica,54.40015,-5.49391,1,1,2,2,1,5,2,1
ST-00141,EMEA,Czechia,Data Center,Telefónica,45.54432,22.85572,2,0,3,1,1,2,5,8
ST-00142,AMER,Argentina,Data Center,Verizon,24.84942,-91.37024,0,2,0,1,1,3,0,6
ST-00143,EMEA,Italy,Cell Site,Telenor,55.14269,12.35339,2,4,4,1,1,7,1,3
ST-00144,EMEA,UK,Cell Site,Vodafone,54.70794,15.0586,8,1,3,1,4,4,0,4
ST-00145,APAC,Australia,Cell Site,Maxis,19.05208,126.42556,1,6,3,6,3,4,2,1
ST-00146,EMEA,Czechia,Integration Center,,56.64117,8.62261,4,3,4,1,0,5,2,4
ST-00147,APAC,Australia,Cell Site,NTT Docomo,2.16172,119.66124,0,2,5,3,2,1,1,4
ST-00148,APAC,Indonesia,Cell Site,Maxis,4.52312,106.2262,4,2,6,2,0,4,2,6
ST-00149,EMEA,Netherlands,Cell Site,Deutsche Telekom,48.74455,3.81091,2,4,1,4,4,2,0,2
ST-00150,EMEA,Germany,Warehouse,,42.02328,-9.19555,0,2,3,4,3,3,3,3
ST-00151,EMEA,UK,Cell Site,Vodafone,41.73175,5.39193,4,4,1,0,5,0,3,3
ST-00152,AMER,Colombia,Cell Site,Bell,-8.87717,-74.86325,1,4,3,4,1,3,2,3
ST-00153,APAC,Indonesia,Warehouse,,26.96662,128.99517,3,5,1,3,3,1,3,4
ST-00154,AMER,Colombia,Cell Site,Bell,-18.26855,-75.24292,1,0,1,1,2,3,2,9
ST-00155,EMEA,France,Warehouse,,45.75149,2.91532,4,1,2,1,2,2,2,3
ST-00156,EMEA,Spain,Data Center,A1 Telekom,47.06937,9.25178,1,4,2,3,2,1,1,3
ST-00157,EMEA,Sweden,Cell Site,Orange,50.98426,12.36873,1,2,2,3,0,3,2,4
ST-00158,AMER,Chile,Cell Site,Rogers,21.8147,-60.78023,2,3,2,3,1,3,3,2
ST-00159,APAC,Malaysia,Warehouse,,32.60814,104.60291,3,5,0,1,2,3,2,4
ST-00160,AMER,Argentina,Integration Center,,13.01379,-90.82556,3,0,3,1,1,5,1,7
ST-00161,AMER,Brazil,Warehouse,,11.69992,-71.51671,3,2,1,1,1,1,0,2
ST-00162,EMEA,Germany,Cell Site,Orange,36.64427,-4.50303,1,2,2,2,3,2,3,3
ST-00163,AMER,Brazil,Cell Site,TIM Brasil,-34.34204,-84.85329,1,7,1,1,3,5,2,7
ST-00164,EMEA,Poland,Warehouse,,54.18288,7.98063,5,3,2,2,3,1,1,6
ST-00165,APAC,Singapore,Warehouse,,23.26054,119.49353,1,4,5,1,2,1,2,4
ST-00166,EMEA,Poland,Warehouse,,37.23851,-3.02171,0,4,0,1,1,5,1,3
ST-00167,AMER,USA,Cell Site,AT&T,47.36928,-81.65156,1,2,1,2,1,2,2,2
ST-00168,AMER,Argentina,Cell Site,Claro,2.67513,-69.96054,1,4,1,4,2,3,1,1
ST-00169,AMER,Canada,Cell Site,AT&T,-30.93261,-66.36875,4,4,2,1,0,0,1,5
ST-00170,EMEA,Czechia,Cell Site,Three,51.76088,-4.20304,1,0,2,1,2,3,3,4
ST-00171,EMEA,Italy,Warehouse,,36.62311,-9.88446,5,4,3,2,1,4,5,6
ST-00172,AMER,Colombia,Cell Site,Verizon,-8.52625,-87.008,5,1,0,3,4,3,2,0
ST-00173,APAC,Vietnam,Warehouse,,7.89548,104.35451,2,3,1,5,3,2,2,0
ST-00174,EMEA,Austria,Integration Center,,49.05094,-5.48563,2,4,4,3,1,1,4,3
ST-00175,EMEA,Italy,Integration Center,,40.02848,12.47962,5,6,0,1,1,1,3,5
ST-00176,EMEA,Netherlands,Cell Site,Three,52.61182,27.25083,4,1,1,1,2,1,1,5
ST-00177,EMEA,France,Integration Center,,47.76385,-5.47103,2,2,3,1,4,4,2,3
ST-00178,APAC,Japan,Cell Site,Maxis,24.0696,139.76817,1,4,3,3,4,5,3,2
ST-00179,AMER,Canada,Warehouse,,44.47581,-68.79349,2,5,3,2,1,4,2,4
ST-00180,EMEA,Germany,Cell Site,Vodafone,53.3649,20.22222,5,0,3,1,2,2,0,5
ST-00181,APAC,South Korea,Cell Site,SK Telecom,4.53764,116.00895,1,3,2,1,1,3,0,3
ST-00182,EMEA,Austria,Cell Site,Telefónica,52.2395,-7.09111,2,3,0,1,1,4,1,2
ST-00183,EMEA,Germany,Warehouse,,57.86894,-4.89249,5,2,0,2,3,1,1,7
ST-00184,EMEA,Poland,Cell Site,Three,37.20489,-5.06227,5,1,3,3,1,1,2,1
ST-00185,APAC,Indonesia,Cell Site,Reliance Jio,17.50619,117.15879,2,2,0,2,2,4,3,9
ST-00186,APAC,India,Integration Center,,4.69482,129.29923,2,2,3,3,2,3,0,4
ST-00187,EMEA,Germany,Cell Site,Vodafone,40.00402,12.41858,1,4,7,0,0,3,0,4
ST-00188,EMEA,Italy,Cell Site,Telefónica,47.27807,26.22542,3,6,2,4,2,3,1,4
ST-00189,AMER,Chile,Data Center,Rogers,45.39731,-90.46352,5,2,3,0,0,8,1,2
ST-00190,EMEA,France,Cell Site,Telia,48.46063,29.41601,0,1,2,2,1,2,1,2
ST-00191,EMEA,Italy,Warehouse,,43.29618,-7.05323,3,4,4,6,4,4,1,7
ST-00192,EMEA,France,Cell Site,Telefónica,52.95081,10.12775,2,7,1,1,2,2,0,3
ST-00193,EMEA,Spain,Warehouse,,58.49082,13.00799,6,0,0,1,0,2,3,4
ST-00194,APAC,Australia,Warehouse,,20.94836,135.74234,4,5,1,3,3,1,1,5
ST-00195,EMEA,Sweden,Cell Site,Orange,44.50959,13.89785,3,4,0,2,2,0,0,2
ST-00196,EMEA,Germany,Data Center,Deutsche Telekom,56.14264,13.90347,2,1,2,3,4,6,2,3
ST-00197,EMEA,Poland,Data Center,Telenor,42.4449,12.33289,8,3,4,0,2,2,0,4
ST-00198,AMER,Argentina,Integration Center,,3.88231,-60.61145,0,3,1,3,4,6,1,4
ST-00199,EMEA,Poland,Warehouse,,36.27356,20.71874,4,2,1,2,4,5,1,6
ST-00200,APAC,Malaysia,Cell Site,Bharti Airtel,1.9366,120.19573,3,5,3,2,1,5,1,5
ST-00201,EMEA,France,Warehouse,,45.77341,26.41775,3,6,4,1,2,4,0,5
ST-00202,EMEA,Italy,Integration Center,,48.48351,23.09334,5,2,0,2,3,3,0,2
ST-00203,EMEA,Netherlands,Cell Site,Telefónica,51.80354,7.88236,2,4,2,2,3,1,2,5
ST-00204,EMEA,Netherlands,Cell Site,Vodafone,43.44278,-5.31853,0,5,4,6,2,4,1,3
ST-00205,EMEA,Sweden,Cell Site,A1 Telekom,35.33798,-9.94415,2,4,2,3,3,3,1,5
ST-00206,APAC,Thailand,Cell Site,China Mobile,9.81029,118.04608,2,3,2,1,2,2,1,3
ST-00207,EMEA,France,Cell Site,Orange,59.38736,18.20916,3,3,1,4,5,2,2,4
ST-00208,EMEA,Sweden,Cell Site,Telefónica,36.76707,15.80829,2,3,6,2,2,5,0,5
ST-00209,EMEA,Austria,Warehouse,,47.13739,15.44734,4,0,3,1,0,1,4,5
ST-00210,APAC,Malaysia,Cell Site,NTT Docomo,25.30448,97.19725,3,1,2,0,1,6,2,5
ST-00211,EMEA,France,Warehouse,,57.98649,12.18166,6,3,2,1,1,2,1,6
ST-00212,EMEA,France,Cell Site,Telefónica,52.51903,5.48315,0,2,2,2,4,5,4,1
ST-00213,EMEA,Sweden,Cell Site,Deutsche Telekom,38.05729,17.63719,3,1,1,2,0,3,2,6
ST-00214,EMEA,UK,Integration Center,,58.56222,13.2453,3,3,3,0,3,2,2,6
ST-00215,EMEA,Spain,Cell Site,Telenor,39.96617,14.93009,2,4,3,1,2,4,0,3
ST-00216,EMEA,Austria,Warehouse,,45.72329,5.96153,1,3,3,3,3,3,0,4
ST-00217,EMEA,Italy,Cell Site,Deutsche Telekom,57.83762,19.48327,3,2,3,1,1,1,0,2
ST-00218,EMEA,Czechia,Cell Site,Telenor,47.71934,6.70006,2,2,2,1,2,4,2,0
ST-00219,EMEA,Spain,Cell Site,Three,41.07319,3.73855,0,2,4,0,0,2,3,4
ST-00220,AMER,USA,Data Center,Rogers,13.65549,-98.06631,1,3,4,4,2,2,2,4
ST-00221,APAC,South Korea,Warehouse,,14.9432,114.70435,4,1,0,0,2,5,5,3
ST-00222,APAC,India,Cell Site,Singtel,24.7235,127.15504,0,2,2,4,2,4,1,5
ST-00223,EMEA,Czechia,Cell Site,Deutsche Telekom,35.34579,1.79215,1,4,2,1,2,2,3,3
ST-00224,AMER,Mexico,Cell Site,TIM Brasil,-11.51387,-79.14882,2,1,3,1,1,2,3,3
ST-00225,AMER,Mexico,Cell Site,AT&T,6.94117,-96.80397,6,2,2,1,3,5,2,6
ST-00226,EMEA,Sweden,Cell Site,Telenor,54.03379,17.49084,3,3,0,3,3,0,0,2
ST-00227,EMEA,Italy,Cell Site,Three,55.52861,-5.55861,3,1,3,2,3,2,3,4
ST-00228,EMEA,Italy,Cell Site,Telenor,47.65581,14.14888,2,2,0,2,1,1,0,8
ST-00229,APAC,India,Cell Site,SK Telecom,2.90865,137.97079,1,1,0,1,1,2,3,2
ST-00230,AMER,Canada,Cell Site,Rogers,36.49907,-90.25393,2,2,4,0,1,3,1,2
ST-00231,EMEA,UK,Warehouse,,50.71879,-4.26494,2,2,0,2,2,3,2,2
ST-00232,AMER,USA,Cell Site,TIM Brasil,43.58893,-96.06635,2,4,3,3,3,1,2,4
ST-00233,AMER,Mexico,Warehouse,,46.3685,-66.88566,4,3,3,1,5,2,2,2
ST-00234,AMER,USA,Warehouse,,8.04036,-73.89602,3,1,3,1,2,6,3,2
ST-00235,AMER,Mexico,Cell Site,TIM Brasil,-12.877,-84.62599,0,1,2,1,3,1,1,3
ST-00236,AMER,USA,Data Center,Verizon,-15.42998,-78.8953,1,3,3,2,1,6,2,6
ST-00237,APAC,Australia,Cell Site,Reliance Jio,13.42849,107.57737,1,1,1,3,2,4,4,0
ST-00238,EMEA,Austria,Cell Site,Orange,46.06913,24.90368,3,3,2,3,6,2,2,2
ST-00239,AMER,Brazil,Data Center,T-Mobile US,14.37575,-67.73616,3,5,3,3,3,5,2,4
ST-00240,EMEA,Germany,Warehouse,,56.2138,-0.18286,3,1,5,4,6,4,1,4
ST-00241,AMER,Canada,Warehouse,,34.99206,-74.05351,1,4,2,3,4,2,2,5
ST-00242,APAC,Singapore,Integration Center,,20.78881,94.43335,2,3,2,1,1,4,1,8
ST-00243,EMEA,Czechia,Cell Site,Telenor,49.30846,-3.78476,4,6,2,2,3,6,1,4
ST-00244,EMEA,Netherlands,Warehouse,,55.40638,27.38487,2,1,1,1,2,4,3,6
ST-00245,EMEA,France,Cell Site,Telefónica,46.95269,7.62109,2,1,1,2,3,2,0,4
ST-00246,EMEA,UK,Warehouse,,47.21956,-7.31272,1,2,1,2,2,5,0,4
ST-00247,APAC,Japan,Warehouse,,10.24228,137.03054,1,5,2,2,2,3,1,5
ST-00248,EMEA,Italy,Cell Site,A1 Telekom,43.62686,13.65431,3,1,2,2,0,5,2,4
ST-00249,EMEA,Spain,Cell Site,Three,51.22854,25.08624,2,4,0,0,2,0,4,6
ST-00250,APAC,Australia,Cell Site,Bharti Airtel,10.28896,134.5065,1,3,3,3,2,1,0,4
ST-00251,EMEA,Spain,Data Center,Three,44.7914,26.87108,1,5,1,1,2,4,2,5
ST-00252,EMEA,Austria,Cell Site,Orange,45.28295,-5.8416,3,3,3,1,5,0,5,4
ST-00253,EMEA,Austria,Warehouse,,36.30307,28.69152,2,3,0,2,3,5,1,5
ST-00254,APAC,Singapore,Cell Site,Singtel,5.73211,117.05958,8,6,4,3,2,1,1,6
ST-00255,EMEA,UK,Cell Site,Telenor,48.17449,6.05429,1,5,3,1,2,2,3,8
ST-00256,EMEA,Sweden,Warehouse,,45.45077,9.02865,1,2,2,1,0,1,3,2
ST-00257,EMEA,Spain,Cell Site,A1 Telekom,37.48836,21.63627,0,2,2,2,4,2,0,2
ST-00258,APAC,Australia,Cell Site,NTT Docomo,15.70549,102.22698,3,4,1,3,3,6,4,2
ST-00259,APAC,Indonesia,Integration Center,,13.41243,120.59349,2,3,3,0,3,2,2,6
ST-00260,EMEA,Poland,Warehouse,,54.37763,-3.86321,4,3,0,0,4,4,1,2
ST-00261,APAC,Indonesia,Data Center,NTT Docomo,24.11018,111.12061,3,2,1,1,0,4,3,2
ST-00262,EMEA,Poland,Cell Site,Telia,56.5493,27.97196,2,3,3,1,5,2,1,11
ST-00263,EMEA,UK,Integration Center,,51.96356,13.59221,6,2,0,0,1,6,1,1
ST-00264,EMEA,Spain,Data Center,A1 Telekom,54.50889,9.83224,3,3,1,1,1,4,4,2
ST-00265,AMER,Canada,Data Center,Rogers,-30.01649,-71.95617,6,1,2,4,5,7,0,3
ST-00266,EMEA,Germany,Cell Site,Telia,49.50961,-3.94249,2,5,4,2,0,1,2,3
ST-00267,APAC,South Korea,Cell Site,Bharti Airtel,9.30571,101.53383,5,1,2,2,4,6,3,5
ST-00268,AMER,Colombia,Cell Site,Claro,30.91687,-79.26512,2,3,1,5,1,3,3,7
ST-00269,APAC,Australia,Cell Site,Singtel,2.86788,131.89825,1,2,1,4,2,4,2,3
