sku_id,total_returns,avg_inventory,total_shipped_qty,failure_rate,vendor,category,technology,unit_weight_kg,unit_volume_m3,std_cost_usd,supplier_nominal_lead_time_days,DOA,FIRMWARE,INTERMITTENT,MECH_DAMAGE,NO_POWER,OTHER,OVERHEAT,RF_FAULT
SKU-00499,18,8.964285714285714,238,0.07563025210084033,HPE Aruba,RAN,5G,19.22,0.2021,453.4,67,3,0,0,1,1,3,4,6
SKU-04643,14,9.4,188,0.07446808510638298,Cisco,Core,5G,7.23,0.0921,313.0,52,1,1,0,2,2,3,1,4
SKU-02769,19,9.0,256,0.07421875,Samsung,Power,5G,31.91,0.3306,211.3,10,5,0,2,3,4,1,2,2
SKU-04056,17,8.444444444444445,230,0.07391304347826087,Ericsson,Small Cell,4G,24.61,0.261,432.16,53,1,1,3,0,7,3,1,1
SKU-04925,17,8.558823529411764,230,0.07391304347826087,HPE Aruba,Antenna,4G,23.61,0.2381,791.47,82,0,4,4,1,1,1,3,3
SKU-03730,13,9.525,176,0.07386363636363637,HPE Aruba,Edge Router,4G,22.4,0.2386,1595.9,71,1,2,2,0,2,3,0,3
SKU-01436,14,8.210526315789474,191,0.07329842931937172,HPE Aruba,RAN,5G,10.43,0.1095,94.72,44,0,2,1,2,1,0,1,7
SKU-00562,18,9.972972972972974,246,0.07317073170731707,Cisco,RAN,5G,29.46,0.3028,326.95,15,1,3,1,0,4,3,1,5
SKU-02230,14,9.024390243902438,193,0.07253886010362694,ZTE,Small Cell,Dual (4G/5G),64.44,0.6637,1000.07,50,2,3,3,3,0,2,0,1
SKU-01571,15,9.454545454545455,207,0.07246376811594203,NEC,Microwave,5G,33.98,0.3506,333.55,66,3,4,3,0,1,1,0,3
SKU-04941,10,8.294117647058824,138,0.07246376811594203,HPE Aruba,Cabling,4G,18.91,0.193,498.7,18,0,2,0,2,0,2,2,2
SKU-03141,18,8.222222222222221,249,0.07228915662650602,Cisco,Small Cell,Dual (4G/5G),13.97,0.1546,166.81,15,4,0,0,2,1,7,2,2
SKU-04877,13,8.852941176470589,180,0.07222222222222222,HPE Aruba,Small Cell,5G,21.79,0.2291,633.36,72,2,3,1,1,1,2,2,1
SKU-00184,13,9.2,180,0.07222222222222222,Ericsson,Edge Router,4G,4.68,0.056,664.78,44,0,2,1,2,3,3,1,1
SKU-01635,13,8.823529411764707,181,0.0718232044198895,Cisco,Fiber,5G,11.39,0.1207,272.84,75,1,2,4,0,1,3,0,2
SKU-02365,13,8.475,181,0.0718232044198895,Juniper,Small Cell,4G,7.07,0.0753,404.26,60,2,0,2,1,2,5,0,1
SKU-00299,16,9.863636363636363,223,0.07174887892376682,Huawei,Antenna,5G,27.04,0.2855,232.54,43,4,3,0,3,0,6,0,0
SKU-04057,16,7.945945945945946,224,0.07142857142857142,Ericsson,Cabling,4G,5.13,0.0701,1350.52,38,3,2,1,0,3,3,2,2
SKU-02710,14,8.583333333333334,196,0.07142857142857142,NEC,Optical Transport,5G,2.16,0.0323,525.27,55,2,1,2,1,2,3,2,1
SKU-01721,14,9.022727272727273,196,0.07142857142857142,ZTE,Antenna,5G,7.43,0.0883,416.57,38,2,1,1,1,3,1,2,3
SKU-03135,10,9.365853658536585,140,0.07142857142857142,Samsung,Power,4G,20.41,0.2072,237.41,68,0,2,0,1,0,2,0,5
SKU-02232,9,9.275,127,0.07086614173228346,ZTE,Core,5G,7.82,0.079,163.78,23,2,2,0,0,2,2,1,0
SKU-00127,17,9.444444444444445,240,0.07083333333333333,ZTE,Power,Dual (4G/5G),6.06,0.0636,161.19,22,1,1,3,2,2,4,2,2
SKU-04486,15,8.666666666666666,213,0.07042253521126761,Ciena,Core,Dual (4G/5G),16.17,0.1667,647.08,62,1,2,4,1,2,2,1,2
SKU-03928,12,8.96875,171,0.07017543859649122,Cisco,Core,5G,24.67,0.263,708.06,45,1,2,4,1,1,2,0,1
SKU-04487,15,9.333333333333334,214,0.07009345794392523,Ericsson,Core,5G,27.98,0.2958,497.96,30,2,0,1,1,3,3,1,4
SKU-02720,14,8.113636363636363,200,0.07,Nokia,Fiber,4G,21.62,0.2332,151.91,87,0,1,0,3,3,4,0,3
SKU-00979,12,9.81081081081081,172,0.06976744186046512,Ciena,Cabling,5G,16.16,0.1764,281.94,72,0,2,0,2,2,2,2,2
SKU-02758,16,9.23076923076923,230,0.06956521739130435,Ciena,Small Cell,Dual (4G/5G),29.89,0.314,182.66,6,1,4,2,3,1,2,1,2
SKU-03378,12,8.391304347826088,173,0.06936416184971098,Samsung,Optical Transport,Dual (4G/5G),3.21,0.0456,599.94,55,0,2,1,0,2,2,1,4
SKU-03681,12,9.764705882352942,173,0.06936416184971098,Juniper,Optical Transport,Dual (4G/5G),5.3,0.0611,879.25,14,3,2,0,0,1,2,0,4
SKU-03830,13,8.58695652173913,188,0.06914893617021277,Samsung,Microwave,4G,13.51,0.1419,457.22,17,0,1,3,2,2,3,0,2
SKU-01525,14,9.647058823529411,203,0.06896551724137931,NEC,Fiber,Dual (4G/5G),15.18,0.1693,528.25,85,0,3,1,4,0,2,2,2
SKU-03149,16,9.26086956521739,232,0.06896551724137931,NEC,Cabling,4G,25.68,0.2637,979.54,29,1,1,1,1,2,1,0,9
SKU-04873,14,8.944444444444445,205,0.06829268292682927,Ciena,Cabling,4G,14.63,0.1617,109.42,49,3,2,1,1,2,2,2,1
SKU-02546,17,9.027777777777779,249,0.06827309236947791,HPE Aruba,Core,4G,59.89,0.6047,599.75,53,3,1,3,1,4,2,0,3
SKU-01031,12,8.761904761904763,176,0.06818181818181818,Ciena,Antenna,5G,15.3,0.1618,443.21,82,1,5,0,2,1,2,0,1
SKU-04845,18,8.857142857142858,264,0.06818181818181818,ZTE,Power,Dual (4G/5G),28.7,0.3043,165.35,34,2,4,1,3,1,2,0,5
SKU-03593,14,8.55813953488372,208,0.0673076923076923,NEC,Edge Router,4G,26.03,0.2679,147.79,9,2,1,2,2,2,1,1,3
SKU-02835,13,8.575757575757576,194,0.06701030927835051,Ciena,Core,5G,11.91,0.136,576.86,77,2,1,1,1,3,1,1,3
SKU-02844,12,9.151515151515152,180,0.06666666666666667,Samsung,Power,5G,27.85,0.2844,59.95,79,1,2,3,1,1,3,0,1
SKU-01589,15,9.791666666666666,225,0.06666666666666667,Ericsson,Antenna,4G,49.54,0.5068,616.2,84,3,0,2,0,0,2,2,6
SKU-00878,13,8.634146341463415,195,0.06666666666666667,Samsung,Power,4G,19.73,0.2022,444.45,22,1,2,1,2,0,2,3,2
SKU-01172,13,9.027027027027026,196,0.0663265306122449,Juniper,Core,Dual (4G/5G),4.96,0.0511,265.58,15,2,0,1,1,1,4,3,1
SKU-02011,13,8.214285714285714,196,0.0663265306122449,Cisco,Power,5G,19.48,0.2074,1237.57,44,1,0,2,4,1,1,1,3
SKU-00734,16,9.071428571428571,242,0.06611570247933884,HPE Aruba,Fiber,4G,27.66,0.2786,141.18,14,1,1,3,1,2,1,2,5
SKU-01619,14,8.21875,212,0.0660377358490566,ZTE,Small Cell,5G,35.98,0.3744,147.1,21,0,2,0,4,4,2,1,1
SKU-01835,12,8.871794871794872,182,0.06593406593406594,Ericsson,Cabling,4G,5.02,0.0702,985.26,66,2,1,2,0,0,2,0,5
SKU-01070,10,8.897435897435898,152,0.06578947368421052,ZTE,Core,Dual (4G/5G),15.62,0.1713,496.05,39,2,2,1,1,2,0,0,2
SKU-04193,14,8.833333333333334,213,0.06572769953051644,NEC,RAN,5G,34.32,0.3547,87.89,6,2,2,3,3,0,2,0,2
SKU-04105,16,8.666666666666666,245,0.0653061224489796,Cisco,Fiber,Dual (4G/5G),21.23,0.2163,249.45,25,3,2,1,2,3,3,1,1
SKU-01563,16,9.6,245,0.0653061224489796,Samsung,RAN,4G,8.04,0.0843,636.76,30,2,1,3,1,0,0,3,6
SKU-02386,17,8.875,262,0.0648854961832061,ZTE,Cabling,4G,103.91,1.0448,100.06,9,4,0,3,3,0,0,2,5
SKU-02946,16,9.75,247,0.06477732793522267,Ciena,RAN,4G,6.72,0.0833,166.97,26,0,4,5,1,0,2,0,4
SKU-03436,11,9.0,170,0.06470588235294118,HPE Aruba,Edge Router,5G,52.19,0.5282,729.99,65,2,2,0,2,3,0,0,2
SKU-04650,12,10.72,186,0.06451612903225806,Samsung,Small Cell,4G,35.87,0.3614,732.46,10,0,2,2,1,1,0,0,6
SKU-00136,15,9.65,233,0.06437768240343347,NEC,Core,5G,80.28,0.8147,85.86,88,1,2,1,2,4,4,0,1
SKU-00467,16,9.43859649122807,249,0.0642570281124498,NEC,Cabling,5G,12.9,0.1297,229.34,72,3,3,2,0,2,1,2,3
SKU-03013,14,9.485714285714286,218,0.06422018348623854,NEC,Optical Transport,4G,10.79,0.122,280.69,74,0,1,1,0,2,3,1,6
SKU-02071,15,10.6,234,0.0641025641025641,Ciena,Power,4G,23.29,0.2356,670.52,68,0,1,2,2,1,6,1,2
SKU-03199,9,9.13888888888889,141,0.06382978723404255,Ciena,Optical Transport,Dual (4G/5G),12.4,0.1286,214.67,39,2,0,1,2,0,2,1,1
SKU-04304,12,10.536585365853659,188,0.06382978723404255,Huawei,Edge Router,5G,25.27,0.2575,864.56,86,2,1,2,0,1,1,3,2
SKU-02568,11,9.261904761904763,173,0.06358381502890173,Huawei,Microwave,4G,17.58,0.1764,332.25,30,2,1,1,2,0,1,1,3
SKU-02216,15,9.38888888888889,237,0.06329113924050633,Nokia,Optical Transport,4G,24.0,0.2528,173.74,24,3,5,1,2,2,0,1,1
SKU-02577,15,8.644444444444444,237,0.06329113924050633,Samsung,Cabling,4G,13.45,0.1464,418.78,62,1,4,2,0,1,1,1,5
SKU-01000,11,9.466666666666667,174,0.06321839080459771,HPE Aruba,RAN,5G,8.63,0.0998,119.34,37,1,1,1,0,2,1,0,5
SKU-02609,9,9.63888888888889,143,0.06293706293706294,HPE Aruba,Optical Transport,5G,29.13,0.2939,199.36,80,2,1,0,0,1,1,1,3
SKU-03817,12,9.53191489361702,191,0.06282722513089005,Ericsson,Edge Router,5G,74.39,0.7634,355.47,74,1,2,4,0,2,0,3,0
SKU-03248,13,10.026315789473685,207,0.06280193236714976,Juniper,Antenna,Dual (4G/5G),9.47,0.0953,1211.15,47,2,0,1,2,2,2,4,0
SKU-03267,14,9.025641025641026,223,0.06278026905829596,ZTE,Core,5G,15.51,0.158,914.26,16,2,1,3,4,0,2,1,1
SKU-01016,14,8.67741935483871,224,0.0625,HPE Aruba,RAN,5G,21.67,0.2257,1902.87,23,3,2,1,1,1,3,3,0
SKU-01154,13,9.033333333333333,208,0.0625,Huawei,Antenna,4G,23.22,0.24,527.31,64,2,2,1,1,2,1,2,2
SKU-04823,13,9.125,208,0.0625,Juniper,Microwave,Dual (4G/5G),34.56,0.3531,1559.03,24,3,1,0,2,2,2,1,2
SKU-03534,14,8.037037037037036,225,0.06222222222222222,NEC,Core,Dual (4G/5G),22.58,0.2258,115.79,56,1,1,3,3,0,4,0,2
SKU-04251,12,7.382352941176471,193,0.06217616580310881,Samsung,RAN,4G,6.08,0.076,379.39,33,0,0,2,3,4,2,0,1
SKU-03139,10,9.195652173913043,161,0.062111801242236024,HPE Aruba,Small Cell,4G,11.18,0.1165,602.38,79,0,2,0,3,2,2,0,1
SKU-01230,16,8.170212765957446,258,0.06201550387596899,Ciena,Power,5G,12.76,0.1407,432.9,60,3,1,1,1,0,3,1,6
SKU-00930,11,9.090909090909092,178,0.06179775280898876,Juniper,Microwave,5G,12.88,0.1388,220.17,17,1,4,2,1,0,3,0,0
SKU-03752,16,9.06060606060606,259,0.06177606177606178,ZTE,Small Cell,4G,19.92,0.2061,133.37,63,3,1,3,2,3,2,1,1
SKU-00255,10,8.604651162790697,162,0.06172839506172839,ZTE,Edge Router,5G,10.41,0.1071,292.06,88,2,3,1,0,1,1,1,1
SKU-00448,17,8.829787234042554,277,0.061371841155234655,Ericsson,Fiber,4G,31.54,0.3208,1117.82,64,4,0,2,1,3,3,0,4
SKU-02317,12,9.125,196,0.061224489795918366,ZTE,Core,4G,14.09,0.1415,251.2,28,2,2,1,0,0,3,1,3
SKU-00048,14,8.966666666666667,229,0.0611353711790393,ZTE,Edge Router,5G,6.43,0.0645,362.79,68,2,4,0,1,1,4,0,2
SKU-02881,12,9.28888888888889,197,0.06091370558375635,Nokia,Edge Router,4G,43.5,0.4517,212.58,21,2,0,0,1,2,4,2,1
SKU-03913,9,8.333333333333334,148,0.060810810810810814,Nokia,Antenna,4G,19.82,0.2037,841.65,82,1,0,0,2,0,1,3,2
SKU-03902,11,7.9523809523809526,181,0.06077348066298342,Huawei,Core,4G,37.76,0.3956,196.11,38,2,1,2,1,2,2,0,1
SKU-01224,15,9.409090909090908,247,0.06072874493927125,Huawei,Optical Transport,4G,21.56,0.2259,347.54,84,4,2,1,4,0,1,1,2
SKU-01902,17,9.571428571428571,280,0.060714285714285714,Nokia,Edge Router,Dual (4G/5G),22.56,0.2317,279.47,23,1,3,1,4,1,1,2,4
SKU-01183,10,8.9,165,0.06060606060606061,Cisco,Cabling,5G,42.19,0.4246,180.61,39,0,1,0,0,4,2,1,2
SKU-01084,10,10.44186046511628,165,0.06060606060606061,Ericsson,Fiber,4G,18.85,0.2,394.18,75,3,0,1,1,1,2,0,2
SKU-00277,12,8.357142857142858,198,0.06060606060606061,Ericsson,Optical Transport,4G,12.35,0.1299,359.97,31,1,1,2,3,0,4,1,0
SKU-00485,14,8.958333333333334,232,0.0603448275862069,Ciena,Microwave,4G,20.19,0.2158,357.48,38,0,1,0,1,4,3,0,5
SKU-00627,15,9.121951219512194,249,0.060240963855421686,ZTE,RAN,5G,16.53,0.1851,225.21,83,4,2,2,2,0,1,0,4
SKU-01574,10,9.92,166,0.060240963855421686,HPE Aruba,RAN,4G,8.57,0.0998,1553.21,67,1,2,1,0,3,3,0,0
SKU-02945,13,9.529411764705882,216,0.06018518518518518,Samsung,Power,4G,24.88,0.2509,924.12,42,2,1,1,2,1,3,1,2
SKU-04622,15,8.81132075471698,250,0.06,Cisco,Cabling,4G,22.08,0.2256,515.93,19,0,2,1,2,3,0,4,3
SKU-03771,12,8.51063829787234,200,0.06,Ericsson,Antenna,4G,28.04,0.2895,333.56,83,2,1,2,1,1,2,1,2
SKU-01405,13,9.716981132075471,217,0.059907834101382486,Cisco,Power,5G,14.02,0.1463,391.13,41,4,2,1,1,0,4,0,1
SKU-00241,10,9.244444444444444,167,0.059880239520958084,Huawei,Antenna,4G,8.89,0.1071,352.62,52,1,1,2,0,2,1,0,3
SKU-00366,15,9.243243243243244,251,0.05976095617529881,Ericsson,Optical Transport,5G,18.66,0.2018,1965.7,53,1,1,4,3,3,0,1,2
SKU-00726,12,9.173913043478262,201,0.05970149253731343,ZTE,Edge Router,5G,42.69,0.4348,319.22,43,1,5,2,2,2,0,0,0
SKU-00017,12,8.574468085106384,201,0.05970149253731343,Nokia,Optical Transport,Dual (4G/5G),9.11,0.1077,712.42,70,0,2,1,1,1,3,1,3
SKU-02936,12,10.465116279069768,202,0.0594059405940594,Ciena,RAN,5G,24.07,0.26,195.35,60,3,0,1,4,0,3,0,1
SKU-01673,13,9.06060606060606,219,0.0593607305936073,Huawei,Edge Router,5G,22.86,0.2371,377.01,48,1,1,2,0,1,4,1,3
SKU-02448,8,8.86111111111111,135,0.05925925925925926,ZTE,RAN,5G,4.87,0.0579,449.96,76,0,0,0,1,2,0,4,1
SKU-03598,10,8.333333333333334,169,0.05917159763313609,Samsung,Antenna,5G,5.84,0.0585,319.44,46,2,3,0,0,1,1,2,1
SKU-01795,11,9.409090909090908,186,0.05913978494623656,Nokia,Cabling,5G,11.95,0.1298,318.74,13,1,0,1,4,0,1,4,0
SKU-02875,13,9.244897959183673,220,0.05909090909090909,ZTE,Fiber,5G,27.39,0.2883,816.06,54,1,5,0,3,1,1,1,1
SKU-03679,13,9.742857142857142,220,0.05909090909090909,NEC,Small Cell,5G,36.17,0.3692,206.21,69,2,3,0,2,0,3,2,1
SKU-04169,12,9.078947368421053,204,0.058823529411764705,Huawei,RAN,5G,45.38,0.4584,679.47,6,4,1,0,0,2,2,1,2
SKU-02906,14,9.1,238,0.058823529411764705,Ericsson,Cabling,4G,13.87,0.1416,1246.17,38,3,3,2,0,2,1,1,2
SKU-03607,11,9.738095238095237,187,0.058823529411764705,ZTE,Small Cell,4G,2.26,0.0359,878.56,14,0,3,1,0,0,1,1,5
SKU-00081,12,8.96774193548387,204,0.058823529411764705,Juniper,RAN,4G,9.71,0.1136,598.74,30,1,1,0,2,0,2,1,5
SKU-04875,11,8.81578947368421,187,0.058823529411764705,Juniper,Microwave,5G,44.77,0.4581,615.28,49,1,1,2,0,3,2,0,2
SKU-03412,14,9.617647058823529,239,0.058577405857740586,NEC,RAN,4G,6.97,0.0828,64.62,83,1,2,1,4,0,1,1,4
SKU-02335,14,8.941176470588236,239,0.058577405857740586,ZTE,Core,5G,10.43,0.113,626.05,8,1,1,2,3,0,3,1,3
SKU-01869,13,9.557692307692308,222,0.05855855855855856,Samsung,Antenna,4G,6.86,0.0764,425.13,71,2,1,3,0,2,1,1,3
SKU-03881,12,8.638297872340425,205,0.05853658536585366,HPE Aruba,Microwave,5G,8.77,0.0981,834.91,15,0,3,1,2,1,1,2,2
SKU-00743,11,9.057142857142857,188,0.05851063829787234,HPE Aruba,Fiber,5G,22.96,0.2478,1278.99,26,0,2,0,1,1,2,2,3
SKU-01200,11,8.58974358974359,188,0.05851063829787234,Samsung,Core,Dual (4G/5G),42.45,0.4404,281.26,73,1,2,1,0,2,3,0,2
SKU-01922,11,9.355555555555556,188,0.05851063829787234,Nokia,Cabling,5G,51.39,0.5319,318.52,9,2,1,2,0,2,4,0,0
SKU-04394,14,8.777777777777779,240,0.058333333333333334,NEC,Fiber,5G,7.68,0.0868,979.73,50,5,2,2,2,0,0,1,2
SKU-01664,12,9.08695652173913,206,0.05825242718446602,ZTE,Core,5G,2.67,0.0426,2022.4,69,0,3,2,0,1,4,0,2
SKU-01389,14,9.418604651162791,241,0.058091286307053944,ZTE,Power,Dual (4G/5G),25.58,0.2702,155.8,26,2,3,1,2,0,1,2,3
SKU-02512,9,9.904761904761905,155,0.05806451612903226,Juniper,Core,5G,23.2,0.246,1238.24,40,0,3,0,0,1,2,0,3
SKU-04891,11,8.977777777777778,190,0.05789473684210526,NEC,Edge Router,4G,53.9,0.5524,747.69,70,1,2,1,2,2,0,1,2
SKU-03506,12,8.382352941176471,208,0.057692307692307696,Samsung,Optical Transport,5G,6.7,0.0803,408.7,82,4,2,1,0,1,1,1,2
SKU-04125,13,9.382978723404255,226,0.05752212389380531,Juniper,Cabling,5G,23.22,0.2324,400.91,88,2,1,1,0,3,1,1,4
SKU-04980,15,8.906976744186046,261,0.05747126436781609,Juniper,Cabling,5G,14.87,0.1556,720.18,41,1,2,1,1,2,6,1,1
SKU-04284,10,9.368421052631579,174,0.05747126436781609,Juniper,Microwave,5G,54.59,0.5507,251.36,78,1,4,1,0,0,2,0,2
SKU-01714,12,8.891304347826088,209,0.05741626794258373,Nokia,Microwave,4G,28.33,0.2939,182.15,6,2,1,0,1,1,4,3,0
SKU-04363,12,9.86111111111111,209,0.05741626794258373,Ciena,Small Cell,4G,9.77,0.1024,136.38,33,4,2,0,1,0,1,0,4
SKU-00474,14,9.156862745098039,244,0.05737704918032787,Samsung,RAN,5G,6.3,0.0682,522.36,80,2,2,0,1,2,1,0,6
SKU-01724,15,9.522727272727273,262,0.05725190839694656,Nokia,Power,4G,51.32,0.517,899.93,76,4,1,2,2,2,3,1,0
SKU-03361,17,8.607142857142858,297,0.05723905723905724,HPE Aruba,Fiber,5G,43.36,0.4489,661.34,33,2,2,3,3,1,2,1,3
SKU-03367,14,9.162790697674419,245,0.05714285714285714,ZTE,Microwave,4G,22.22,0.2281,526.78,27,2,3,1,1,3,1,1,2
SKU-00094,10,9.08,175,0.05714285714285714,NEC,Small Cell,4G,32.93,0.3471,473.24,74,1,1,1,2,1,3,0,1
SKU-00348,10,9.030303030303031,175,0.05714285714285714,Juniper,Optical Transport,4G,15.44,0.1611,119.86,35,0,2,1,2,1,1,0,3
SKU-01237,14,8.871794871794872,245,0.05714285714285714,Nokia,Power,5G,65.77,0.6625,537.71,30,3,3,2,0,1,2,0,3
SKU-00792,13,8.666666666666666,228,0.05701754385964912,Cisco,Fiber,4G,19.96,0.2065,375.92,23,1,2,5,0,2,1,0,2
SKU-02455,11,8.325581395348838,193,0.05699481865284974,Ericsson,RAN,4G,16.01,0.1662,791.38,16,1,1,1,2,0,2,1,3
SKU-02602,11,7.916666666666667,193,0.05699481865284974,Nokia,Small Cell,4G,15.02,0.1578,560.09,15,3,1,2,2,0,1,0,2
SKU-03058,11,10.4,193,0.05699481865284974,ZTE,Edge Router,5G,20.33,0.2103,595.75,78,0,0,1,0,1,4,3,2
SKU-04079,16,9.96875,281,0.05693950177935943,Juniper,Power,Dual (4G/5G),21.61,0.229,250.59,6,0,1,2,3,1,6,2,1
SKU-00834,14,9.542857142857143,246,0.056910569105691054,Cisco,Cabling,4G,8.51,0.1028,250.76,80,1,2,2,1,1,2,1,4
SKU-03943,14,8.705882352941176,246,0.056910569105691054,Ciena,RAN,Dual (4G/5G),21.47,0.2182,119.83,89,0,3,2,1,0,0,2,6
SKU-00392,12,8.681818181818182,211,0.05687203791469194,Samsung,Fiber,4G,9.59,0.0995,191.98,61,0,2,1,4,1,1,1,2
SKU-01583,10,8.366666666666667,176,0.056818181818181816,Cisco,Power,4G,22.61,0.239,614.31,80,2,2,0,0,2,0,0,4
SKU-03349,13,9.714285714285714,229,0.056768558951965066,HPE Aruba,RAN,5G,7.06,0.089,238.53,27,4,0,2,2,0,2,2,1
SKU-04524,13,8.093023255813954,229,0.056768558951965066,Ciena,Edge Router,Dual (4G/5G),3.55,0.0412,853.28,7,1,2,2,1,2,2,0,3
SKU-00491,13,10.0,229,0.056768558951965066,Ericsson,Edge Router,5G,16.42,0.1789,962.69,69,2,2,1,1,1,1,0,5
SKU-02668,11,9.578947368421053,194,0.05670103092783505,HPE Aruba,Optical Transport,4G,7.56,0.0766,811.13,10,3,1,1,0,3,2,1,0
SKU-02989,15,9.162162162162161,265,0.05660377358490566,Nokia,Antenna,Dual (4G/5G),17.39,0.1848,214.73,46,2,5,2,1,1,2,0,2
SKU-02346,10,9.578947368421053,177,0.05649717514124294,Ericsson,Cabling,5G,20.12,0.2098,165.84,11,2,0,2,0,3,3,0,0
SKU-04148,10,8.64102564102564,177,0.05649717514124294,HPE Aruba,Fiber,5G,13.91,0.1515,163.72,88,1,2,1,2,2,1,0,1
SKU-01739,11,9.823529411764707,195,0.05641025641025641,HPE Aruba,RAN,5G,51.66,0.5299,189.2,39,3,0,0,1,1,5,1,0
SKU-01497,9,9.325,160,0.05625,NEC,RAN,5G,11.05,0.1271,761.84,39,1,1,1,1,1,1,1,2
SKU-00650,11,9.6875,196,0.05612244897959184,Ericsson,Cabling,Dual (4G/5G),21.37,0.2257,526.41,89,1,3,1,1,2,3,0,0
SKU-00377,11,9.142857142857142,196,0.05612244897959184,ZTE,Antenna,5G,12.59,0.1294,509.17,34,3,1,1,0,0,3,2,1
SKU-02675,9,8.452380952380953,161,0.055900621118012424,Juniper,Antenna,5G,28.12,0.2992,52.72,20,0,2,1,1,2,1,2,0
SKU-02200,11,9.696969696969697,197,0.05583756345177665,Samsung,Small Cell,5G,27.13,0.2819,40.01,20,2,2,0,1,1,2,0,3
SKU-00574,11,8.72549019607843,197,0.05583756345177665,Ciena,Core,Dual (4G/5G),15.57,0.1685,324.74,84,2,1,2,1,0,0,1,4
SKU-03045,11,9.121951219512194,197,0.05583756345177665,Ciena,Power,5G,9.6,0.1017,584.07,85,3,0,1,2,3,1,0,1
SKU-01077,11,8.86111111111111,197,0.05583756345177665,Ericsson,Cabling,4G,21.05,0.2275,1456.59,69,1,2,2,2,2,2,0,0
SKU-01280,14,9.324324324324325,251,0.055776892430278883,Juniper,RAN,4G,10.75,0.1159,234.41,29,1,2,2,0,0,4,2,3
SKU-03982,10,9.515151515151516,180,0.05555555555555555,Ericsson,Optical Transport,4G,31.43,0.3324,274.59,40,1,0,1,0,1,3,1,3
SKU-00507,10,8.864864864864865,180,0.05555555555555555,Huawei,Core,5G,16.52,0.1678,1158.44,66,1,0,1,1,2,0,3,2
SKU-04764,13,8.92156862745098,234,0.05555555555555555,Ciena,RAN,5G,20.75,0.2134,135.97,60,2,0,0,0,2,7,1,1
SKU-02384,12,9.48936170212766,216,0.05555555555555555,Huawei,RAN,4G,10.52,0.1141,143.97,23,1,2,0,3,2,2,1,1
SKU-02965,15,8.722222222222221,270,0.05555555555555555,NEC,Small Cell,4G,26.72,0.2868,660.91,57,3,1,1,1,3,4,1,1
SKU-01294,13,9.088888888888889,235,0.05531914893617021,HPE Aruba,Cabling,5G,37.4,0.3877,335.56,51,3,3,1,2,0,0,0,4
SKU-04642,13,9.121212121212121,235,0.05531914893617021,Ericsson,Antenna,4G,15.68,0.1594,423.87,39,3,2,1,1,0,1,2,3
