site_id,rma_date,rma_count,rolling_mean,rolling_std,z_score,deviation,pct_change,severity,consecutive_count,region,site_type,country,operator,week_number,year
ST-01567,2024-02-26,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Warehouse,Singapore,,9,2024
ST-01606,2023-04-17,3,1.0,0.5,4.0,2.0,198.0,Critical,0,AMER,Cell Site,Chile,TIM Brasil,16,2023
ST-01612,2025-09-01,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,Italy,Orange,36,2025
ST-01654,2025-06-23,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Warehouse,South Korea,,26,2025
ST-01678,2025-05-05,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Warehouse,Germany,,19,2025
ST-01710,2024-01-22,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Warehouse,Austria,,4,2024
ST-01759,2023-05-08,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Integration Center,Sweden,,19,2023
ST-01766,2024-02-19,3,1.0,0.5,4.0,2.0,198.0,Critical,0,AMER,Cell Site,Brazil,Verizon,8,2024
ST-01767,2023-10-02,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Cell Site,Indonesia,Reliance Jio,40,2023
ST-01773,2023-09-11,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Warehouse,Czechia,,37,2023
ST-01776,2025-05-26,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Data Center,Australia,Maxis,22,2025
ST-01876,2023-06-26,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Data Center,Germany,Telia,26,2023
ST-01888,2023-01-23,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Integration Center,Sweden,,4,2023
ST-01938,2023-08-28,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Data Center,Malaysia,Telstra,35,2023
ST-00233,2025-03-17,3,1.25,0.5,3.5,1.75,138.9,Critical,0,AMER,Warehouse,Mexico,,12,2025
ST-00254,2024-01-08,3,1.25,0.5,3.5,1.75,138.9,Critical,0,APAC,Cell Site,Singapore,Singtel,2,2024
ST-00262,2024-11-11,3,1.25,0.5,3.5,1.75,138.9,Critical,0,EMEA,Cell Site,Poland,Telia,46,2024
ST-00271,2023-12-18,3,1.25,0.5,3.5,1.75,138.9,Critical,0,APAC,Data Center,Australia,Maxis,51,2023
ST-00436,2025-01-06,3,1.25,0.5,3.5,1.75,138.9,Critical,0,EMEA,Integration Center,Spain,,2,2025
ST-00682,2025-04-21,3,1.25,0.5,3.5,1.75,138.9,Critical,0,EMEA,Warehouse,Austria,,17,2025
ST-00708,2024-08-12,3,1.25,0.5,3.5,1.75,138.9,Critical,0,EMEA,Warehouse,Poland,,33,2024
ST-00786,2025-01-20,3,1.25,0.5,3.5,1.75,138.9,Critical,0,AMER,Warehouse,Argentina,,4,2025
ST-00794,2025-08-25,3,1.25,0.5,3.5,1.75,138.9,Critical,0,EMEA,Warehouse,Poland,,35,2025
ST-00806,2024-04-08,3,1.25,0.5,3.5,1.75,138.9,Critical,1,APAC,Warehouse,India,,15,2024
ST-01229,2025-10-13,3,1.25,0.5,3.5,1.75,138.9,Critical,0,AMER,Data Center,Brazil,Claro,42,2025
ST-01422,2025-02-03,3,1.25,0.5,3.5,1.75,138.9,Critical,0,APAC,Warehouse,Indonesia,,6,2025
ST-01452,2023-11-06,3,1.25,0.5,3.5,1.75,138.9,Critical,0,APAC,Warehouse,Malaysia,,45,2023
ST-01642,2025-09-22,3,1.25,0.5,3.5,1.75,138.9,Critical,0,EMEA,Cell Site,Netherlands,Three,39,2025
ST-01656,2025-03-17,3,1.25,0.5,3.5,1.75,138.9,Critical,0,APAC,Cell Site,India,Singtel,12,2025
ST-01732,2023-10-09,3,1.25,0.5,3.5,1.75,138.9,Critical,0,EMEA,Data Center,Italy,Telia,41,2023
ST-01817,2024-04-01,3,1.25,0.5,3.5,1.75,138.9,Critical,1,APAC,Cell Site,Vietnam,Singtel,14,2024
ST-01940,2025-01-20,3,1.25,0.5,3.5,1.75,138.9,Critical,0,APAC,Cell Site,Indonesia,NTT Docomo,4,2025
ST-00379,2023-12-11,3,1.33,0.58,2.89,1.67,124.1,High,0,EMEA,Cell Site,Poland,A1 Telekom,50,2023
ST-00689,2023-01-09,3,1.33,0.58,2.89,1.67,124.1,High,0,EMEA,Warehouse,Austria,,2,2023
ST-00753,2023-07-10,3,1.33,0.58,2.89,1.67,124.1,High,0,EMEA,Cell Site,Netherlands,A1 Telekom,28,2023
ST-01323,2023-01-16,3,1.33,0.58,2.89,1.67,124.1,High,0,EMEA,Warehouse,Poland,,3,2023
ST-00771,2024-11-11,3,1.5,0.58,2.6,1.5,99.3,High,0,AMER,Warehouse,Chile,,46,2024
ST-01220,2025-06-23,3,1.5,0.58,2.6,1.5,99.3,High,0,AMER,Warehouse,Brazil,,26,2025
ST-01521,2023-03-06,3,1.67,0.58,2.31,1.33,79.5,High,0,AMER,Cell Site,USA,Claro,10,2023
ST-00001,2024-04-15,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Italy,Three,16,2024
ST-00001,2025-03-17,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Italy,Three,12,2025
ST-00001,2025-09-22,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Italy,Three,39,2025
ST-00002,2023-11-13,2,1.0,0.5,2.0,1.0,99.0,High,1,APAC,Cell Site,South Korea,Singtel,46,2023
ST-00002,2025-08-18,2,1.0,0.5,2.0,1.0,99.0,High,1,APAC,Cell Site,South Korea,Singtel,34,2025
ST-00003,2024-10-14,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Warehouse,Austria,,42,2024
ST-00006,2023-01-30,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Warehouse,Czechia,,5,2023
ST-00006,2023-08-21,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Warehouse,Czechia,,34,2023
ST-00006,2025-04-21,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Warehouse,Czechia,,17,2025
ST-00007,2025-11-03,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,France,Deutsche Telekom,45,2025
ST-00008,2023-04-17,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Warehouse,Spain,,16,2023
ST-00008,2024-10-21,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Warehouse,Spain,,43,2024
ST-00009,2024-01-29,2,1.0,0.5,2.0,1.0,99.0,High,1,EMEA,Cell Site,Czechia,Telia,5,2024
ST-00009,2025-10-20,2,1.0,0.5,2.0,1.0,99.0,High,1,EMEA,Cell Site,Czechia,Telia,43,2025
ST-00011,2025-10-06,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Integration Center,France,,41,2025
ST-00012,2023-04-24,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Poland,Telenor,17,2023
ST-00012,2024-06-17,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Poland,Telenor,25,2024
ST-00013,2024-11-04,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Warehouse,Singapore,,45,2024
ST-00014,2023-05-22,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Warehouse,Austria,,21,2023
ST-00014,2024-10-07,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Warehouse,Austria,,41,2024
ST-00017,2023-02-13,2,1.0,0.5,2.0,1.0,99.0,High,0,AMER,Cell Site,Colombia,T-Mobile US,7,2023
ST-00020,2023-04-10,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Cell Site,Singapore,Reliance Jio,15,2023
ST-00023,2024-09-30,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Cell Site,India,Maxis,40,2024
ST-00024,2025-02-10,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,France,Telenor,7,2025
ST-00025,2023-10-09,2,1.0,0.5,2.0,1.0,99.0,High,0,AMER,Warehouse,Mexico,,41,2023
ST-00026,2025-05-26,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Cell Site,Indonesia,Maxis,22,2025
ST-00027,2024-07-08,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Warehouse,Germany,,28,2024
ST-00028,2023-06-19,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Integration Center,Vietnam,,25,2023
ST-00030,2024-02-12,2,1.0,0.5,2.0,1.0,99.0,High,0,AMER,Data Center,USA,TIM Brasil,7,2024
ST-00031,2024-08-12,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Warehouse,Netherlands,,33,2024
ST-00033,2023-08-21,2,1.0,0.5,2.0,1.0,99.0,High,0,AMER,Warehouse,Colombia,,34,2023
ST-00033,2024-07-22,2,1.0,0.5,2.0,1.0,99.0,High,0,AMER,Warehouse,Colombia,,30,2024
ST-00034,2023-10-09,2,1.0,0.5,2.0,1.0,99.0,High,0,AMER,Cell Site,Colombia,Rogers,41,2023
ST-00036,2023-02-27,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Warehouse,Poland,,9,2023
ST-00037,2023-02-06,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,UK,Vodafone,6,2023
ST-00037,2025-02-17,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,UK,Vodafone,8,2025
ST-00038,2025-06-09,2,1.0,0.5,2.0,1.0,99.0,High,0,AMER,Cell Site,Argentina,Verizon,24,2025
ST-00040,2025-10-13,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Cell Site,Vietnam,China Mobile,42,2025
ST-00041,2023-12-18,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Cell Site,South Korea,Singtel,51,2023
ST-00042,2023-01-09,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Poland,Telenor,2,2023
ST-00043,2023-09-04,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Czechia,Orange,36,2023
ST-00044,2023-05-22,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Warehouse,Spain,,21,2023
ST-00045,2023-01-09,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Cell Site,Vietnam,NTT Docomo,2,2023
ST-00045,2025-05-05,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Cell Site,Vietnam,NTT Docomo,19,2025
ST-00046,2023-05-29,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Warehouse,South Korea,,22,2023
ST-00050,2024-05-13,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Warehouse,Italy,,20,2024
ST-00051,2023-04-10,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Integration Center,Austria,,15,2023
ST-00052,2024-06-24,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Poland,Telia,26,2024
ST-00054,2023-07-17,2,1.0,0.5,2.0,1.0,99.0,High,0,AMER,Integration Center,Mexico,,29,2023
ST-00054,2025-05-05,2,1.0,0.5,2.0,1.0,99.0,High,0,AMER,Integration Center,Mexico,,19,2025
ST-00058,2025-01-20,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,UK,Telefónica,4,2025
ST-00059,2025-01-13,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Netherlands,Telia,3,2025
ST-00060,2023-03-06,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Poland,Telenor,10,2023
ST-00061,2023-10-09,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Italy,Deutsche Telekom,41,2023
ST-00062,2024-12-02,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Czechia,Deutsche Telekom,49,2024
ST-00062,2025-08-04,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Czechia,Deutsche Telekom,32,2025
ST-00063,2024-05-27,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Cell Site,Australia,Telstra,22,2024
ST-00066,2024-02-05,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Data Center,Germany,Telefónica,6,2024
ST-00069,2024-11-04,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,UK,Vodafone,45,2024
ST-00069,2025-09-22,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,UK,Vodafone,39,2025
ST-00070,2024-11-25,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Warehouse,Indonesia,,48,2024
ST-00071,2023-02-13,2,1.0,0.5,2.0,1.0,99.0,High,0,AMER,Cell Site,Mexico,Rogers,7,2023
ST-00071,2024-04-01,2,1.0,0.5,2.0,1.0,99.0,High,0,AMER,Cell Site,Mexico,Rogers,14,2024
ST-00072,2023-03-06,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Warehouse,UK,,10,2023
ST-00072,2023-07-17,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Warehouse,UK,,29,2023
ST-00073,2024-08-05,2,1.0,0.5,2.0,1.0,99.0,High,0,AMER,Integration Center,USA,,32,2024
ST-00075,2023-03-06,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Integration Center,Spain,,10,2023
ST-00075,2023-09-18,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Integration Center,Spain,,38,2023
ST-00076,2024-07-01,2,1.0,0.5,2.0,1.0,99.0,High,0,AMER,Integration Center,Canada,,27,2024
ST-00077,2023-10-02,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Italy,Telia,40,2023
ST-00081,2023-01-16,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Cell Site,India,Telstra,3,2023
ST-00082,2024-03-04,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Spain,Telenor,10,2024
ST-00083,2025-06-16,2,1.0,0.5,2.0,1.0,99.0,High,0,AMER,Cell Site,Colombia,Claro,25,2025
ST-00084,2024-04-22,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Sweden,A1 Telekom,17,2024
ST-00086,2025-01-06,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,France,Vodafone,2,2025
ST-00086,2025-08-04,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,France,Vodafone,32,2025
ST-00088,2024-04-22,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Germany,Telefónica,17,2024
ST-00089,2024-09-02,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Germany,Orange,36,2024
ST-00090,2023-07-10,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Cell Site,Malaysia,Singtel,28,2023
ST-00091,2024-06-24,2,1.0,0.5,2.0,1.0,99.0,High,0,AMER,Cell Site,Chile,Verizon,26,2024
ST-00093,2024-04-29,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Netherlands,Deutsche Telekom,18,2024
ST-00094,2025-07-14,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Warehouse,Thailand,,29,2025
ST-00095,2023-05-15,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,France,Telia,20,2023
ST-00095,2024-07-29,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,France,Telia,31,2024
ST-00096,2024-12-23,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Germany,Telefónica,52,2024
ST-00097,2023-10-16,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,France,Telefónica,42,2023
ST-00098,2025-05-26,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Cell Site,Thailand,Maxis,22,2025
ST-00099,2023-07-03,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Integration Center,UK,,27,2023
ST-00099,2025-08-25,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Integration Center,UK,,35,2025
ST-00100,2024-09-09,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Integration Center,France,,37,2024
ST-00101,2023-03-13,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Cell Site,India,NTT Docomo,11,2023
ST-00102,2024-01-01,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Cell Site,Australia,Maxis,1,2024
ST-00102,2025-09-08,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Cell Site,Australia,Maxis,37,2025
ST-00104,2025-10-06,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Warehouse,Germany,,41,2025
ST-00105,2023-08-07,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Cell Site,Thailand,Bharti Airtel,32,2023
ST-00106,2024-11-25,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Germany,Telenor,48,2024
ST-00107,2024-04-22,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Warehouse,Australia,,17,2024
ST-00107,2025-05-19,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Warehouse,Australia,,21,2025
ST-00108,2024-01-22,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Netherlands,Three,4,2024
ST-00108,2025-07-14,2,1.0,0.5,2.0,1.0,99.0,High,0,EMEA,Cell Site,Netherlands,Three,29,2025
ST-00109,2023-04-10,2,1.0,0.5,2.0,1.0,99.0,High,0,APAC,Cell Site,Indonesia,SK Telecom,15,2023
