sku_id,vendor,category,technology,unit_weight_kg,unit_volume_m3,std_cost_usd,supplier_nominal_lead_time_days
SKU-00052,Ericsson,Cabling,Dual (4G/5G),15.63,0.1682,421.68,15
SKU-00053,ZTE,RAN,Dual (4G/5G),19.2,0.2013,231.94,8
SKU-00054,Nokia,Edge Router,4G,32.76,0.3369,645.03,18
SKU-00055,Ciena,Optical Transport,4G,13.51,0.1544,345.96,17
SKU-00056,ZTE,RAN,Dual (4G/5G),4.33,0.0565,258.17,19
SKU-00057,Nokia,RAN,Dual (4G/5G),18.91,0.1925,100.7,12
SKU-00058,Cisco,Power,4G,49.08,0.4998,527.11,15
SKU-00059,Cisco,Power,5G,12.99,0.1454,853.73,27
SKU-00060,NEC,Optical Transport,Dual (4G/5G),21.38,0.2223,158.88,11
SKU-00061,ZTE,Edge Router,5G,10.31,0.1093,1327.92,73
SKU-00062,Cisco,Edge Router,4G,12.23,0.1421,492.61,36
SKU-00063,Nokia,Microwave,5G,5.21,0.0708,440.66,48
SKU-00064,NEC,Cabling,Dual (4G/5G),21.92,0.238,152.09,7
SKU-00065,Nokia,Fiber,Dual (4G/5G),10.51,0.1077,615.23,48
SKU-00066,NEC,Fiber,5G,18.45,0.1892,160.42,73
SKU-00067,ZTE,Power,5G,12.03,0.1291,187.93,55
SKU-00068,Ciena,Power,4G,14.57,0.1623,105.86,65
SKU-00069,Juniper,RAN,Dual (4G/5G),21.44,0.2291,3499.32,55
SKU-00070,HPE Aruba,Optical Transport,4G,21.42,0.2312,388.17,37
SKU-00071,Ciena,RAN,Dual (4G/5G),34.76,0.366,247.71,24
SKU-00072,Samsung,Small Cell,5G,37.85,0.3941,390.15,34
SKU-00073,Nokia,RAN,Dual (4G/5G),13.22,0.1374,269.99,48
SKU-00074,Samsung,RAN,4G,28.16,0.2873,349.56,33
SKU-00075,Ciena,Antenna,5G,7.98,0.0868,543.2,25
SKU-00076,NEC,Small Cell,4G,14.0,0.1461,291.48,86
SKU-00077,HPE Aruba,Fiber,5G,17.66,0.1816,445.5,57
SKU-00078,HPE Aruba,RAN,Dual (4G/5G),7.32,0.0882,2608.06,15
SKU-00079,Ericsson,RAN,5G,16.95,0.1702,93.06,14
SKU-00080,HPE Aruba,Core,5G,19.81,0.2127,162.28,39
SKU-00081,Juniper,RAN,4G,9.71,0.1136,598.74,30
SKU-00082,HPE Aruba,RAN,Dual (4G/5G),29.51,0.2964,1205.62,48
SKU-00083,Ciena,Edge Router,5G,14.43,0.1455,4419.51,8
SKU-00084,Ericsson,Small Cell,5G,38.77,0.3934,562.06,78
SKU-00085,Ciena,Core,5G,46.22,0.4664,152.13,61
SKU-00086,Ciena,Cabling,5G,12.16,0.1332,1345.16,43
SKU-00087,Huawei,Cabling,5G,13.81,0.1516,445.72,84
SKU-00088,Ericsson,Optical Transport,5G,10.16,0.1143,432.15,45
SKU-00089,Ciena,Cabling,5G,6.14,0.0685,85.26,71
SKU-00090,Huawei,Microwave,Dual (4G/5G),48.07,0.4907,1027.44,40
SKU-00091,Huawei,RAN,Dual (4G/5G),9.34,0.1062,193.06,8
SKU-00092,Ericsson,Fiber,4G,18.03,0.1827,634.93,78
SKU-00093,Samsung,RAN,5G,33.26,0.3372,425.73,17
SKU-00094,NEC,Small Cell,4G,32.93,0.3471,473.24,74
SKU-00095,Juniper,Microwave,4G,21.75,0.2243,420.52,11
SKU-00096,NEC,Power,5G,32.04,0.3364,220.69,32
SKU-00097,HPE Aruba,Core,Dual (4G/5G),22.79,0.2329,205.86,63
SKU-00098,Juniper,RAN,4G,36.54,0.3662,861.08,41
SKU-00099,HPE Aruba,RAN,5G,35.72,0.3672,398.36,19
SKU-00100,Ciena,Cabling,Dual (4G/5G),3.59,0.0537,238.92,34
SKU-00101,Nokia,Antenna,Dual (4G/5G),31.03,0.3267,267.76,78
SKU-00102,Ericsson,Antenna,5G,7.49,0.08,699.52,16
SKU-00103,Juniper,Edge Router,5G,21.78,0.236,234.52,85
SKU-00104,Juniper,Fiber,5G,5.79,0.0675,1446.22,34
SKU-00105,Ciena,Cabling,4G,14.64,0.1474,356.21,5
SKU-00106,Samsung,Fiber,4G,12.86,0.1292,305.02,40
SKU-00107,Huawei,Edge Router,4G,15.21,0.1618,661.36,25
SKU-00108,Ciena,Cabling,5G,18.04,0.1913,321.4,36
SKU-00109,Cisco,Antenna,Dual (4G/5G),4.9,0.0506,547.51,67
SKU-00110,Huawei,Core,5G,38.15,0.3999,385.86,86
SKU-00111,Ericsson,Antenna,5G,1.6,0.0304,100.61,17
SKU-00112,Huawei,Power,5G,32.15,0.3375,171.77,41
SKU-00113,Samsung,RAN,4G,10.21,0.1138,509.92,48
SKU-00114,Huawei,RAN,5G,17.92,0.1925,281.23,25
SKU-00115,Ericsson,Core,Dual (4G/5G),31.99,0.3277,2094.37,22
SKU-00116,Samsung,Power,4G,22.32,0.2368,214.98,50
SKU-00117,NEC,Antenna,4G,13.27,0.1523,141.55,51
SKU-00118,Juniper,RAN,5G,17.4,0.187,416.43,30
SKU-00119,Juniper,Antenna,5G,13.02,0.137,493.12,9
SKU-00120,HPE Aruba,Antenna,5G,36.4,0.3697,817.97,9
SKU-00121,NEC,RAN,5G,36.24,0.3817,54.38,35
SKU-00122,NEC,Antenna,5G,8.39,0.0876,1347.48,32
SKU-00123,Huawei,Small Cell,4G,30.38,0.3199,141.59,81
SKU-00124,Juniper,Fiber,5G,47.84,0.4877,964.28,79
SKU-00125,Ericsson,Fiber,5G,24.59,0.2548,1931.41,69
SKU-00126,ZTE,Small Cell,Dual (4G/5G),10.49,0.1199,733.17,17
SKU-00127,ZTE,Power,Dual (4G/5G),6.06,0.0636,161.19,22
SKU-00128,Samsung,Optical Transport,Dual (4G/5G),20.05,0.2098,345.71,28
SKU-00129,Juniper,Antenna,5G,5.05,0.0512,738.39,33
SKU-00130,Juniper,Power,5G,16.78,0.1812,414.3,32
SKU-00131,ZTE,Power,5G,11.01,0.1113,174.28,49
SKU-00132,Juniper,Optical Transport,Dual (4G/5G),17.32,0.1749,436.97,88
SKU-00133,Huawei,Fiber,4G,31.73,0.3342,266.84,15
SKU-00134,Cisco,RAN,5G,22.82,0.2371,652.99,55
SKU-00135,Nokia,Small Cell,5G,34.3,0.347,172.54,63
SKU-00136,NEC,Core,5G,80.28,0.8147,85.86,88
SKU-00137,HPE Aruba,RAN,4G,24.44,0.2548,178.88,17
SKU-00138,Samsung,Edge Router,5G,20.44,0.2126,103.09,51
SKU-00139,Cisco,RAN,5G,38.18,0.3999,244.04,47
SKU-00140,ZTE,Cabling,5G,13.24,0.1474,690.13,28
SKU-00141,NEC,Small Cell,5G,19.56,0.1986,294.37,52
SKU-00142,Juniper,Antenna,5G,18.84,0.1998,395.67,67
SKU-00143,HPE Aruba,RAN,Dual (4G/5G),31.91,0.3209,180.55,21
SKU-00144,Juniper,RAN,5G,4.59,0.0508,409.88,73
SKU-00145,Ericsson,Antenna,5G,12.19,0.1401,187.76,58
SKU-00146,Ericsson,Small Cell,4G,48.34,0.4926,155.86,18
SKU-00147,HPE Aruba,Edge Router,4G,16.02,0.178,336.75,19
SKU-00148,HPE Aruba,Edge Router,5G,45.33,0.4566,234.83,77
SKU-00149,ZTE,Core,5G,35.05,0.3546,42.46,82
SKU-00150,HPE Aruba,Antenna,5G,38.27,0.3898,378.62,14
SKU-00151,Huawei,Cabling,4G,37.09,0.3782,185.04,26
SKU-00152,Juniper,Optical Transport,Dual (4G/5G),15.5,0.1699,175.17,17
SKU-00153,Cisco,Optical Transport,5G,25.11,0.2631,1232.41,85
SKU-00154,Ciena,Antenna,4G,5.08,0.0619,798.75,69
SKU-00155,HPE Aruba,RAN,5G,25.63,0.2683,544.53,18
SKU-00156,Samsung,Core,Dual (4G/5G),71.3,0.7276,423.35,48
SKU-00157,Ericsson,Power,5G,30.44,0.3223,655.04,43
SKU-00158,Huawei,RAN,4G,9.01,0.0984,294.72,39
SKU-00159,NEC,RAN,5G,11.87,0.1348,429.79,69
SKU-00160,Ciena,Antenna,4G,33.95,0.3494,292.09,31
SKU-00161,Cisco,Antenna,4G,11.75,0.1319,441.34,49
SKU-00162,Ciena,Antenna,4G,5.47,0.0722,506.94,61
SKU-00163,HPE Aruba,Antenna,5G,21.5,0.2156,482.28,26
SKU-00164,ZTE,Power,4G,33.37,0.3446,300.68,38
SKU-00165,Ericsson,Antenna,Dual (4G/5G),8.84,0.1082,701.06,13
SKU-00166,Ericsson,Core,4G,14.25,0.1524,343.12,54
SKU-00167,NEC,Cabling,4G,17.11,0.1884,336.12,58
SKU-00168,ZTE,Small Cell,5G,20.48,0.2085,93.97,62
SKU-00169,Juniper,Microwave,4G,8.67,0.0988,204.16,66
SKU-00170,Nokia,Core,5G,4.67,0.0641,806.52,42
SKU-00171,Huawei,Edge Router,4G,33.41,0.3427,755.15,88
SKU-00172,Ericsson,RAN,4G,9.66,0.1063,396.39,31
SKU-00173,Samsung,RAN,4G,10.03,0.1019,258.12,68
SKU-00174,Ericsson,Antenna,5G,21.67,0.2175,455.4,7
SKU-00175,Ciena,Small Cell,4G,10.76,0.117,59.41,15
SKU-00176,Ericsson,Core,5G,20.7,0.2239,451.13,28
SKU-00177,Ericsson,RAN,5G,9.56,0.1142,148.77,33
SKU-00178,Nokia,RAN,5G,8.26,0.0958,375.15,73
SKU-00179,Nokia,Antenna,5G,18.04,0.1969,478.16,12
SKU-00180,Cisco,Edge Router,5G,6.42,0.0789,305.0,23
SKU-00181,Juniper,Core,Dual (4G/5G),20.88,0.2228,733.08,72
SKU-00182,Samsung,Edge Router,4G,7.41,0.0895,243.32,73
SKU-00183,Ericsson,Core,4G,24.01,0.2502,225.23,52
SKU-00184,Ericsson,Edge Router,4G,4.68,0.056,664.78,44
SKU-00185,Huawei,Antenna,4G,17.67,0.1799,302.44,71
SKU-00186,Nokia,Power,4G,2.58,0.0427,1184.86,20
SKU-00187,Samsung,Cabling,5G,11.21,0.113,407.82,68
SKU-00188,NEC,Core,5G,14.17,0.147,627.05,12
SKU-00189,Cisco,Fiber,Dual (4G/5G),6.78,0.0782,849.81,9
SKU-00190,Juniper,Cabling,4G,19.87,0.2181,380.97,76
SKU-00191,ZTE,RAN,4G,20.43,0.22,118.9,29
SKU-00192,Juniper,Power,Dual (4G/5G),13.37,0.1411,666.47,57
SKU-00193,Ciena,Optical Transport,Dual (4G/5G),17.01,0.1844,1047.61,53
SKU-00194,Ericsson,Antenna,5G,6.66,0.0852,326.21,76
SKU-00195,Cisco,Edge Router,5G,19.63,0.2071,892.61,25
SKU-00196,Ciena,Small Cell,Dual (4G/5G),36.76,0.3768,158.47,55
SKU-00197,Samsung,RAN,5G,18.37,0.1948,454.73,50
SKU-00198,ZTE,Fiber,4G,22.92,0.2354,320.96,13
SKU-00199,Nokia,Cabling,Dual (4G/5G),34.88,0.3669,114.26,68
SKU-00200,Cisco,Fiber,5G,29.44,0.3103,554.8,81
SKU-00201,Cisco,Optical Transport,4G,36.91,0.3832,198.25,27
SKU-00202,Ericsson,Edge Router,5G,56.84,0.5802,545.19,64
SKU-00203,HPE Aruba,Fiber,5G,19.89,0.2183,181.57,63
SKU-00204,Cisco,Microwave,Dual (4G/5G),14.39,0.1499,105.74,12
SKU-00205,Huawei,Microwave,4G,8.2,0.0877,227.84,68
SKU-00206,ZTE,Power,Dual (4G/5G),12.01,0.1249,923.45,58
SKU-00207,ZTE,Power,5G,15.95,0.1743,354.98,19
SKU-00208,Huawei,Optical Transport,5G,20.71,0.223,415.1,56
SKU-00209,NEC,Optical Transport,4G,24.21,0.254,451.11,55
SKU-00210,Huawei,Optical Transport,5G,11.93,0.1323,437.63,8
SKU-00211,Huawei,Fiber,Dual (4G/5G),6.69,0.0739,1806.91,38
SKU-00212,ZTE,Cabling,5G,5.42,0.055,390.24,28
SKU-00213,Juniper,Antenna,4G,33.93,0.3444,87.84,25
SKU-00214,ZTE,Small Cell,5G,40.4,0.4157,299.61,6
SKU-00215,HPE Aruba,Edge Router,5G,28.07,0.297,426.1,11
SKU-00216,Ericsson,RAN,4G,33.98,0.3553,147.13,60
SKU-00217,Ciena,RAN,5G,6.05,0.0641,333.49,79
SKU-00218,Juniper,Optical Transport,5G,32.15,0.3225,336.89,80
SKU-00219,Nokia,Small Cell,4G,12.43,0.1413,1670.22,72
SKU-00220,Ciena,Power,5G,33.82,0.3397,234.6,39
SKU-00221,Ericsson,Optical Transport,4G,14.17,0.1496,862.38,30
SKU-00222,HPE Aruba,Core,5G,8.35,0.0854,358.97,22
SKU-00223,HPE Aruba,Power,5G,5.87,0.07,802.78,68
SKU-00224,Nokia,Cabling,5G,79.94,0.8067,1232.19,60
SKU-00225,Juniper,RAN,5G,24.71,0.2511,547.29,84
SKU-00226,NEC,Small Cell,4G,11.81,0.13,385.29,59
SKU-00227,Huawei,Power,Dual (4G/5G),50.87,0.516,1011.14,16
SKU-00228,Juniper,RAN,5G,26.3,0.2663,125.13,41
SKU-00229,NEC,Antenna,5G,39.97,0.4137,463.41,56
SKU-00230,HPE Aruba,RAN,5G,5.17,0.0684,148.84,23
SKU-00231,ZTE,Small Cell,5G,38.46,0.3901,765.01,19
SKU-00232,Ericsson,Small Cell,4G,14.52,0.1489,436.46,88
SKU-00233,Nokia,Fiber,4G,3.87,0.0402,380.73,56
SKU-00234,Ericsson,Fiber,4G,58.82,0.5988,300.06,81
SKU-00235,Samsung,Core,5G,21.55,0.2321,693.24,30
SKU-00236,Samsung,Small Cell,4G,31.92,0.3242,96.57,49
SKU-00237,Juniper,Power,4G,19.85,0.2077,1848.45,25
SKU-00238,HPE Aruba,Fiber,5G,17.76,0.1808,360.02,85
SKU-00239,HPE Aruba,Small Cell,4G,21.82,0.2263,142.61,57
SKU-00240,Huawei,Small Cell,5G,14.71,0.1474,49.25,33
SKU-00241,Huawei,Antenna,4G,8.89,0.1071,352.62,52
SKU-00242,Huawei,Optical Transport,4G,26.65,0.28,485.01,23
SKU-00243,ZTE,Small Cell,5G,43.28,0.4395,515.06,58
SKU-00244,Ciena,Cabling,4G,41.91,0.4367,126.43,82
SKU-00245,Cisco,Small Cell,Dual (4G/5G),6.34,0.0671,150.82,6
SKU-00246,Ciena,Cabling,5G,42.72,0.4288,1193.79,36
SKU-00247,Ericsson,Optical Transport,4G,10.73,0.1262,116.51,66
SKU-00248,Ciena,Core,4G,8.89,0.0951,441.0,11
SKU-00249,ZTE,Power,5G,3.89,0.0576,296.42,72
SKU-00250,Ericsson,Fiber,4G,16.74,0.1802,262.77,88
SKU-00251,Ciena,Core,4G,17.95,0.1991,324.02,26
SKU-00252,ZTE,Power,5G,21.12,0.2263,262.0,33
SKU-00253,Cisco,Core,Dual (4G/5G),9.06,0.0927,255.1,7
SKU-00254,Ciena,Antenna,5G,16.93,0.1863,896.89,26
SKU-00255,ZTE,Edge Router,5G,10.41,0.1071,292.06,88
SKU-00256,Huawei,RAN,Dual (4G/5G),21.09,0.2247,152.18,57
SKU-00257,HPE Aruba,RAN,4G,35.51,0.3651,377.24,61
SKU-00258,Huawei,RAN,Dual (4G/5G),38.33,0.3975,172.94,14
SKU-00259,HPE Aruba,Edge Router,5G,40.99,0.4252,169.06,44
SKU-00260,Nokia,RAN,5G,5.81,0.0742,1292.32,24
SKU-00261,Nokia,RAN,Dual (4G/5G),12.94,0.1461,348.44,15
SKU-00262,Nokia,Small Cell,4G,10.04,0.1173,145.19,12
SKU-00263,Cisco,Antenna,4G,4.02,0.0485,371.54,40
SKU-00264,Huawei,Edge Router,5G,19.7,0.2148,424.56,29
SKU-00265,HPE Aruba,Small Cell,5G,25.06,0.265,341.84,43
SKU-00266,ZTE,RAN,4G,39.31,0.4099,272.93,66
SKU-00267,Ericsson,Power,4G,16.99,0.1897,132.98,25
SKU-00268,ZTE,Power,5G,31.23,0.3146,289.31,23
SKU-00269,Ericsson,Edge Router,5G,3.97,0.0471,213.75,29
SKU-00270,Samsung,Core,5G,4.11,0.0572,365.91,87
SKU-00271,ZTE,Edge Router,Dual (4G/5G),9.96,0.1013,565.74,9
SKU-00272,Ciena,Core,4G,19.83,0.2091,1637.84,87
SKU-00273,Ciena,Fiber,4G,13.45,0.1517,749.84,16
SKU-00274,Juniper,RAN,5G,30.97,0.3101,45.98,29
SKU-00275,Huawei,Microwave,5G,54.39,0.5627,481.98,9
SKU-00276,Ericsson,Microwave,4G,25.22,0.2718,1356.44,80
SKU-00277,Ericsson,Optical Transport,4G,12.35,0.1299,359.97,31
SKU-00278,Huawei,Power,Dual (4G/5G),10.52,0.1205,1400.34,8
SKU-00279,Cisco,RAN,Dual (4G/5G),4.75,0.05,166.71,87
SKU-00280,Juniper,Antenna,5G,17.85,0.194,199.94,49
SKU-00281,Cisco,Optical Transport,4G,54.52,0.5548,352.41,51
SKU-00282,Cisco,RAN,Dual (4G/5G),20.39,0.2211,358.9,32
SKU-00283,Cisco,Cabling,Dual (4G/5G),17.34,0.1777,787.9,39
SKU-00284,Huawei,RAN,5G,22.32,0.2367,404.06,20
SKU-00285,Cisco,Power,Dual (4G/5G),25.21,0.2678,369.75,16
SKU-00286,Ciena,Cabling,Dual (4G/5G),1.01,0.0141,2924.93,84
SKU-00287,Nokia,Microwave,Dual (4G/5G),77.51,0.7915,216.57,79
SKU-00288,Samsung,RAN,Dual (4G/5G),2.18,0.041,1131.08,47
SKU-00289,Ericsson,Core,5G,15.02,0.1625,562.55,32
SKU-00290,Ericsson,RAN,5G,22.4,0.2397,300.9,85
SKU-00291,Samsung,RAN,5G,14.26,0.1533,496.24,23
SKU-00292,Huawei,Optical Transport,5G,19.4,0.206,209.76,79
SKU-00293,ZTE,Optical Transport,5G,9.77,0.098,432.24,72
SKU-00294,Huawei,Power,Dual (4G/5G),11.44,0.1249,402.15,78
SKU-00295,Ericsson,Cabling,5G,15.44,0.1659,590.55,59
SKU-00296,Ericsson,Power,5G,28.17,0.2951,367.46,87
SKU-00297,Samsung,RAN,5G,19.06,0.194,1529.87,40
SKU-00298,Cisco,RAN,5G,34.81,0.3529,199.17,66
SKU-00299,Huawei,Antenna,5G,27.04,0.2855,232.54,43
SKU-00300,HPE Aruba,Power,4G,35.55,0.3589,488.52,45
SKU-00301,Samsung,Antenna,5G,13.94,0.1477,211.77,64
SKU-00302,Ciena,Core,4G,8.28,0.0878,691.16,70
SKU-00303,Ericsson,Power,4G,7.8,0.0889,1154.59,63
SKU-00304,Samsung,Power,5G,22.01,0.2398,266.22,44
SKU-00305,Huawei,Core,4G,6.18,0.0788,432.9,23
SKU-00306,Ericsson,Edge Router,4G,41.55,0.4209,681.14,59
SKU-00307,ZTE,Power,4G,7.53,0.0827,817.83,50
SKU-00308,Samsung,Microwave,4G,38.65,0.4049,6517.58,8
SKU-00309,Juniper,Core,5G,12.52,0.1432,136.17,87
SKU-00310,Ericsson,Fiber,5G,20.23,0.2055,1333.21,66
SKU-00311,Huawei,Small Cell,Dual (4G/5G),10.56,0.1222,241.29,29
SKU-00312,Nokia,Core,5G,17.01,0.1761,249.6,67
SKU-00313,HPE Aruba,Optical Transport,4G,19.94,0.2103,452.32,74
SKU-00314,NEC,Microwave,4G,17.46,0.1747,423.98,17
SKU-00315,Cisco,Cabling,5G,5.31,0.0731,1097.37,8
SKU-00316,NEC,Core,5G,28.34,0.2986,124.41,6
SKU-00317,Huawei,Small Cell,Dual (4G/5G),18.04,0.1852,37.31,71
SKU-00318,Ciena,Core,5G,8.48,0.0985,1895.16,34
SKU-00319,Ciena,Core,5G,18.19,0.1878,127.48,8
SKU-00320,Nokia,Power,5G,23.86,0.2404,901.49,52
SKU-00321,Cisco,Antenna,Dual (4G/5G),18.57,0.1942,1231.27,47
SKU-00322,Juniper,Edge Router,5G,42.6,0.4383,999.94,49
SKU-00323,Nokia,Edge Router,4G,2.78,0.0296,607.37,17
SKU-00324,NEC,Small Cell,5G,9.0,0.1004,732.64,51
SKU-00325,Nokia,RAN,5G,26.3,0.2733,265.58,32
SKU-00326,NEC,Antenna,Dual (4G/5G),13.55,0.1481,87.23,41
SKU-00327,Ericsson,RAN,5G,3.78,0.0427,305.5,32
SKU-00328,Ciena,Fiber,4G,49.83,0.4987,261.15,31
SKU-00329,Ericsson,Power,Dual (4G/5G),9.91,0.1056,189.49,34
SKU-00330,HPE Aruba,Core,Dual (4G/5G),12.86,0.1366,419.74,10
SKU-00331,Cisco,Antenna,4G,17.1,0.1837,84.82,13
SKU-00332,Juniper,RAN,Dual (4G/5G),47.95,0.4981,1100.54,10
SKU-00333,NEC,Microwave,4G,18.87,0.1928,381.57,33
SKU-00334,Juniper,Power,5G,12.65,0.1402,271.71,74
SKU-00335,NEC,Core,Dual (4G/5G),91.86,0.9205,314.94,70
SKU-00336,Huawei,Power,5G,23.63,0.2401,355.97,57
SKU-00337,Nokia,RAN,4G,21.16,0.2218,176.08,74
SKU-00338,HPE Aruba,RAN,5G,4.56,0.0598,175.57,9
SKU-00339,Ciena,RAN,5G,25.18,0.269,141.72,24
SKU-00340,NEC,Microwave,4G,34.69,0.3618,129.61,16
SKU-00341,Juniper,Edge Router,5G,4.74,0.0477,203.39,12
SKU-00342,HPE Aruba,Fiber,5G,46.11,0.4748,358.57,62
SKU-00343,ZTE,Small Cell,4G,79.95,0.816,973.46,53
SKU-00344,ZTE,Antenna,5G,50.56,0.5161,114.31,68
SKU-00345,Ericsson,Microwave,Dual (4G/5G),10.65,0.1258,839.09,54
SKU-00346,Ciena,Edge Router,5G,48.02,0.4803,111.41,43
SKU-00347,Huawei,Microwave,5G,29.03,0.3067,435.79,44
SKU-00348,Juniper,Optical Transport,4G,15.44,0.1611,119.86,35
SKU-00349,Nokia,Power,5G,40.86,0.4216,146.69,7
SKU-00350,Nokia,RAN,Dual (4G/5G),25.91,0.273,519.59,87
SKU-00351,Juniper,Microwave,4G,18.84,0.1945,514.85,76
SKU-00352,Cisco,Small Cell,5G,13.24,0.1523,734.49,34
SKU-00353,Huawei,Edge Router,5G,10.84,0.1105,191.47,33
SKU-00354,HPE Aruba,Edge Router,5G,21.85,0.2216,895.46,74
SKU-00355,NEC,RAN,4G,15.06,0.1684,1409.03,60
SKU-00356,Cisco,Optical Transport,Dual (4G/5G),24.95,0.2519,486.15,70
SKU-00357,NEC,Antenna,4G,40.65,0.4141,96.6,67
SKU-00358,NEC,RAN,5G,17.57,0.1904,86.21,34
SKU-00359,Cisco,Core,5G,12.91,0.1449,455.96,57
SKU-00360,Ericsson,RAN,5G,25.19,0.271,255.24,50
SKU-00361,ZTE,Edge Router,4G,13.44,0.1502,181.91,13
SKU-00362,NEC,RAN,5G,28.11,0.298,352.94,11
SKU-00363,Cisco,Antenna,4G,7.26,0.0916,302.95,67
SKU-00364,Cisco,Antenna,4G,32.59,0.337,354.87,51
SKU-00365,Samsung,Fiber,5G,29.35,0.3004,199.47,48
SKU-00366,Ericsson,Optical Transport,5G,18.66,0.2018,1965.7,53
SKU-00367,Ciena,Antenna,4G,22.27,0.226,169.04,83
SKU-00368,Samsung,Power,4G,29.85,0.2999,325.26,83
SKU-00369,Samsung,Core,Dual (4G/5G),47.77,0.4934,78.78,89
SKU-00370,Juniper,Cabling,Dual (4G/5G),8.77,0.1067,159.95,66
SKU-00371,ZTE,RAN,4G,23.8,0.2468,142.43,63
SKU-00372,Cisco,RAN,5G,5.24,0.0556,262.31,82
SKU-00373,ZTE,Fiber,5G,8.3,0.0929,330.59,79
SKU-00374,Huawei,Optical Transport,5G,41.51,0.423,287.88,79
SKU-00375,Juniper,Power,Dual (4G/5G),6.09,0.0683,260.44,88
SKU-00376,Ciena,Core,4G,26.22,0.2748,478.86,17
SKU-00377,ZTE,Antenna,5G,12.59,0.1294,509.17,34
SKU-00378,Nokia,Small Cell,5G,5.31,0.0607,60.02,88
SKU-00379,NEC,Antenna,5G,8.55,0.1029,940.22,47
SKU-00380,Huawei,Optical Transport,5G,9.98,0.1144,497.2,55
SKU-00381,Ericsson,Microwave,Dual (4G/5G),36.45,0.3656,84.15,12
SKU-00382,Ciena,Edge Router,4G,9.59,0.1062,827.92,41
