rma_id,sku_id,site_id,reason_code,rma_date,under_warranty
RMA-0000076,SKU-01955,ST-00685,OTHER,2023-08-21,True
RMA-0000077,SKU-03427,ST-00603,RF_FAULT,2023-03-26,True
RMA-0000078,SKU-00735,ST-00759,RF_FAULT,2023-07-14,True
RMA-0000079,SKU-01006,ST-00212,FIRMWARE,2025-09-22,True
RMA-0000080,SKU-03671,ST-01350,RF_FAULT,2025-08-02,True
RMA-0000081,SKU-01182,ST-01614,OTHER,2025-03-04,True
RMA-0000082,SKU-03288,ST-00266,OVERHEAT,2025-07-07,False
RMA-0000083,SKU-02639,ST-00720,FIRMWARE,2025-09-13,True
RMA-0000084,SKU-04959,ST-01819,NO_POWER,2025-04-06,True
RMA-0000085,SKU-04218,ST-00905,OVERHEAT,2023-05-28,True
RMA-0000086,SKU-01759,ST-00487,RF_FAULT,2023-02-12,False
RMA-0000087,SKU-02469,ST-01796,OVERHEAT,2023-09-09,True
RMA-0000088,SKU-04093,ST-00417,OTHER,2024-05-16,True
RMA-0000089,SKU-00259,ST-01992,OVERHEAT,2025-07-18,True
RMA-0000090,SKU-01066,ST-01636,OVERHEAT,2023-08-28,True
RMA-0000091,SKU-00879,ST-00586,INTERMITTENT,2023-07-11,True
RMA-0000092,SKU-01527,ST-01254,FIRMWARE,2024-01-22,True
RMA-0000093,SKU-04420,ST-01106,DOA,2024-03-30,False
RMA-0000094,SKU-02346,ST-00141,INTERMITTENT,2024-03-12,True
RMA-0000095,SKU-00746,ST-01858,DOA,2024-03-13,True
RMA-0000096,SKU-02975,ST-01413,OTHER,2025-03-29,True
RMA-0000097,SKU-04857,ST-01620,OVERHEAT,2025-05-28,True
RMA-0000098,SKU-01508,ST-01946,FIRMWARE,2025-01-11,True
RMA-0000099,SKU-01801,ST-00947,NO_POWER,2023-04-14,False
RMA-0000100,SKU-02169,ST-01587,OTHER,2024-12-30,True
RMA-0000101,SKU-01587,ST-01072,OTHER,2025-03-20,False
RMA-0000102,SKU-04322,ST-00782,INTERMITTENT,2025-06-06,False
RMA-0000103,SKU-00425,ST-01709,FIRMWARE,2024-03-22,False
RMA-0000104,SKU-00699,ST-01721,OTHER,2025-10-06,True
RMA-0000105,SKU-00764,ST-00563,DOA,2023-05-12,False
RMA-0000106,SKU-00019,ST-01761,INTERMITTENT,2025-02-02,True
RMA-0000107,SKU-04588,ST-00578,RF_FAULT,2024-08-22,True
RMA-0000108,SKU-04810,ST-01120,OVERHEAT,2023-09-24,False
RMA-0000109,SKU-03247,ST-01298,OTHER,2023-11-24,False
RMA-0000110,SKU-02321,ST-00759,OTHER,2025-08-31,False
RMA-0000111,SKU-00362,ST-01839,DOA,2023-04-02,True
RMA-0000112,SKU-01250,ST-00800,INTERMITTENT,2023-10-09,True
RMA-0000113,SKU-02883,ST-00779,INTERMITTENT,2024-10-28,False
RMA-0000114,SKU-00775,ST-01379,FIRMWARE,2023-08-12,False
RMA-0000115,SKU-03290,ST-00621,INTERMITTENT,2025-08-09,True
RMA-0000116,SKU-01094,ST-00575,RF_FAULT,2025-09-18,False
RMA-0000117,SKU-01826,ST-00050,NO_POWER,2023-04-24,True
RMA-0000118,SKU-02743,ST-00710,FIRMWARE,2024-05-29,True
RMA-0000119,SKU-00308,ST-00538,OTHER,2023-06-07,False
RMA-0000120,SKU-00870,ST-01078,MECH_DAMAGE,2024-11-20,True
RMA-0000121,SKU-04632,ST-00751,RF_FAULT,2025-10-17,False
RMA-0000122,SKU-01030,ST-00915,RF_FAULT,2025-05-27,True
RMA-0000123,SKU-03801,ST-00254,RF_FAULT,2024-03-16,True
RMA-0000124,SKU-03925,ST-01187,DOA,2025-01-01,True
RMA-0000125,SKU-04079,ST-01112,OTHER,2023-04-09,True
RMA-0000126,SKU-03047,ST-01485,DOA,2023-07-30,False
RMA-0000127,SKU-02294,ST-01630,MECH_DAMAGE,2025-03-17,False
RMA-0000128,SKU-01824,ST-01096,NO_POWER,2024-04-22,True
RMA-0000129,SKU-02692,ST-00179,MECH_DAMAGE,2024-05-22,False
RMA-0000130,SKU-03456,ST-01275,DOA,2024-11-03,False
RMA-0000131,SKU-04661,ST-00441,FIRMWARE,2025-01-24,True
RMA-0000132,SKU-01962,ST-00477,INTERMITTENT,2023-02-08,True
RMA-0000133,SKU-02216,ST-00100,RF_FAULT,2025-05-03,True
RMA-0000134,SKU-03232,ST-01542,FIRMWARE,2023-09-02,True
RMA-0000135,SKU-02194,ST-00956,DOA,2025-05-15,False
RMA-0000136,SKU-02280,ST-00856,NO_POWER,2023-05-31,True
RMA-0000137,SKU-02314,ST-01139,OTHER,2023-02-19,False
RMA-0000138,SKU-00526,ST-01299,RF_FAULT,2024-07-22,True
RMA-0000139,SKU-03737,ST-00107,NO_POWER,2025-05-17,True
RMA-0000140,SKU-03269,ST-01496,RF_FAULT,2024-05-01,True
RMA-0000141,SKU-01031,ST-00125,FIRMWARE,2024-12-20,False
RMA-0000142,SKU-00959,ST-01504,OVERHEAT,2025-04-24,False
RMA-0000143,SKU-02258,ST-01015,OVERHEAT,2023-05-20,True
RMA-0000144,SKU-02244,ST-00283,MECH_DAMAGE,2025-06-08,True
RMA-0000145,SKU-04259,ST-01662,DOA,2024-08-11,False
RMA-0000146,SKU-02228,ST-01964,MECH_DAMAGE,2024-03-08,True
RMA-0000147,SKU-01081,ST-00695,RF_FAULT,2025-01-17,True
RMA-0000148,SKU-03620,ST-00577,INTERMITTENT,2025-08-21,True
RMA-0000149,SKU-04997,ST-01998,MECH_DAMAGE,2025-05-05,False
RMA-0000150,SKU-03562,ST-00833,MECH_DAMAGE,2025-04-24,True
RMA-0000151,SKU-04383,ST-01354,OTHER,2023-05-17,True
RMA-0000152,SKU-00705,ST-01941,RF_FAULT,2023-11-20,False
RMA-0000153,SKU-02045,ST-01914,DOA,2023-06-06,True
RMA-0000154,SKU-02012,ST-01913,OTHER,2025-03-23,True
RMA-0000155,SKU-02647,ST-01706,MECH_DAMAGE,2025-10-14,True
RMA-0000156,SKU-03283,ST-00652,RF_FAULT,2023-08-05,False
RMA-0000157,SKU-00411,ST-00554,FIRMWARE,2023-04-17,True
RMA-0000158,SKU-02586,ST-01954,MECH_DAMAGE,2025-07-02,False
RMA-0000159,SKU-01120,ST-00855,INTERMITTENT,2025-02-09,True
RMA-0000160,SKU-03127,ST-01225,MECH_DAMAGE,2024-07-16,True
RMA-0000161,SKU-02218,ST-00164,RF_FAULT,2024-03-27,True
RMA-0000162,SKU-03425,ST-00101,FIRMWARE,2024-01-08,True
RMA-0000163,SKU-01927,ST-00987,RF_FAULT,2025-06-18,True
RMA-0000164,SKU-04789,ST-01004,FIRMWARE,2023-08-13,False
RMA-0000165,SKU-03948,ST-01076,RF_FAULT,2023-12-16,True
RMA-0000166,SKU-02858,ST-00588,RF_FAULT,2024-10-19,True
RMA-0000167,SKU-03855,ST-00135,MECH_DAMAGE,2024-09-10,True
RMA-0000168,SKU-01953,ST-01659,NO_POWER,2023-04-15,True
RMA-0000169,SKU-00805,ST-00612,MECH_DAMAGE,2025-06-19,False
RMA-0000170,SKU-03490,ST-01628,OTHER,2025-09-13,False
RMA-0000171,SKU-03032,ST-00669,FIRMWARE,2025-08-10,True
RMA-0000172,SKU-01062,ST-01145,FIRMWARE,2023-09-11,False
RMA-0000173,SKU-00171,ST-00610,RF_FAULT,2024-02-03,True
RMA-0000174,SKU-03326,ST-01578,OTHER,2024-11-25,True
RMA-0000175,SKU-00805,ST-01064,DOA,2024-06-13,True
RMA-0000176,SKU-04811,ST-01286,INTERMITTENT,2023-05-30,True
RMA-0000177,SKU-02487,ST-01379,MECH_DAMAGE,2023-01-03,True
RMA-0000178,SKU-04973,ST-01278,DOA,2023-07-21,True
RMA-0000179,SKU-01550,ST-01658,INTERMITTENT,2025-04-19,True
RMA-0000180,SKU-01620,ST-01696,OTHER,2025-02-20,False
RMA-0000181,SKU-00984,ST-01488,OVERHEAT,2023-05-16,True
RMA-0000182,SKU-01137,ST-00469,FIRMWARE,2025-06-09,True
RMA-0000183,SKU-00302,ST-01293,DOA,2025-10-04,True
RMA-0000184,SKU-01383,ST-00702,NO_POWER,2023-05-13,True
RMA-0000185,SKU-00431,ST-00771,NO_POWER,2023-07-21,True
RMA-0000186,SKU-04805,ST-00601,FIRMWARE,2025-04-26,False
RMA-0000187,SKU-02895,ST-00634,DOA,2023-09-20,False
RMA-0000188,SKU-04474,ST-01811,OVERHEAT,2024-12-22,False
RMA-0000189,SKU-00390,ST-00518,OVERHEAT,2025-07-29,True
RMA-0000190,SKU-03989,ST-01653,NO_POWER,2025-07-10,False
RMA-0000191,SKU-00491,ST-00746,RF_FAULT,2024-09-06,True
RMA-0000192,SKU-00513,ST-01127,RF_FAULT,2025-07-19,True
RMA-0000193,SKU-04275,ST-00394,RF_FAULT,2023-06-17,True
RMA-0000194,SKU-01297,ST-00122,OTHER,2023-08-09,True
RMA-0000195,SKU-02475,ST-01970,DOA,2025-02-01,False
RMA-0000196,SKU-00855,ST-01517,OTHER,2024-12-03,True
RMA-0000197,SKU-04664,ST-01506,FIRMWARE,2023-01-11,True
RMA-0000198,SKU-04512,ST-00569,MECH_DAMAGE,2025-05-10,True
RMA-0000199,SKU-03093,ST-01208,OTHER,2023-04-09,True
RMA-0000200,SKU-02671,ST-00946,OTHER,2024-08-17,False
RMA-0000201,SKU-04750,ST-01141,DOA,2023-07-07,True
RMA-0000202,SKU-01095,ST-00483,INTERMITTENT,2023-05-27,True
RMA-0000203,SKU-00133,ST-00968,OTHER,2025-10-03,True
RMA-0000204,SKU-00111,ST-01714,MECH_DAMAGE,2023-12-10,True
RMA-0000205,SKU-02861,ST-01840,INTERMITTENT,2024-12-16,True
RMA-0000206,SKU-04019,ST-00484,FIRMWARE,2023-10-27,True
RMA-0000207,SKU-04821,ST-01237,NO_POWER,2023-09-22,False
RMA-0000208,SKU-04483,ST-01967,RF_FAULT,2025-10-04,True
RMA-0000209,SKU-04936,ST-01885,OTHER,2023-07-04,False
RMA-0000210,SKU-04753,ST-00943,FIRMWARE,2025-06-15,True
RMA-0000211,SKU-00782,ST-01088,NO_POWER,2024-05-27,True
RMA-0000212,SKU-00890,ST-01346,OTHER,2023-03-28,True
RMA-0000213,SKU-04815,ST-00194,MECH_DAMAGE,2024-06-27,False
RMA-0000214,SKU-00302,ST-01351,DOA,2023-10-26,True
RMA-0000215,SKU-00309,ST-00252,FIRMWARE,2025-03-20,True
RMA-0000216,SKU-02264,ST-00491,DOA,2023-09-14,False
RMA-0000217,SKU-00013,ST-00517,OTHER,2023-05-04,True
RMA-0000218,SKU-00648,ST-00856,OTHER,2023-12-10,True
RMA-0000219,SKU-04170,ST-00434,DOA,2024-07-05,True
RMA-0000220,SKU-04330,ST-01333,OTHER,2023-08-17,True
RMA-0000221,SKU-01573,ST-01322,OTHER,2024-09-16,True
RMA-0000222,SKU-02384,ST-00671,OTHER,2023-12-31,True
RMA-0000223,SKU-02797,ST-01131,MECH_DAMAGE,2023-04-13,False
RMA-0000224,SKU-00148,ST-00099,FIRMWARE,2023-03-30,False
RMA-0000225,SKU-00567,ST-01967,FIRMWARE,2024-11-19,False
RMA-0000226,SKU-00993,ST-00515,FIRMWARE,2023-01-13,True
RMA-0000227,SKU-04519,ST-01329,RF_FAULT,2023-12-23,True
RMA-0000228,SKU-02917,ST-00988,INTERMITTENT,2025-02-22,False
RMA-0000229,SKU-01239,ST-01924,INTERMITTENT,2024-02-16,True
RMA-0000230,SKU-02507,ST-00604,RF_FAULT,2025-10-30,True
RMA-0000231,SKU-02268,ST-01653,NO_POWER,2025-10-05,True
RMA-0000232,SKU-01372,ST-00190,OVERHEAT,2023-01-19,True
RMA-0000233,SKU-03986,ST-01603,OVERHEAT,2023-08-16,True
RMA-0000234,SKU-00372,ST-00074,MECH_DAMAGE,2024-01-23,True
RMA-0000235,SKU-00099,ST-01042,MECH_DAMAGE,2024-08-02,True
RMA-0000236,SKU-01196,ST-00837,NO_POWER,2023-12-09,False
RMA-0000237,SKU-00461,ST-01662,MECH_DAMAGE,2025-03-08,True
RMA-0000238,SKU-04592,ST-01668,OVERHEAT,2024-05-20,False
RMA-0000239,SKU-03986,ST-00168,MECH_DAMAGE,2023-10-19,True
RMA-0000240,SKU-01899,ST-01831,RF_FAULT,2025-08-14,False
RMA-0000241,SKU-01399,ST-00150,MECH_DAMAGE,2023-12-16,True
RMA-0000242,SKU-03548,ST-01429,INTERMITTENT,2024-08-30,True
RMA-0000243,SKU-03729,ST-01773,OTHER,2023-09-05,False
RMA-0000244,SKU-00248,ST-01681,INTERMITTENT,2025-03-08,False
RMA-0000245,SKU-00374,ST-01393,DOA,2024-02-21,True
RMA-0000246,SKU-02452,ST-00252,DOA,2025-07-12,True
RMA-0000247,SKU-04151,ST-01411,INTERMITTENT,2024-09-25,False
RMA-0000248,SKU-02780,ST-01288,MECH_DAMAGE,2024-06-10,False
RMA-0000249,SKU-02366,ST-01701,INTERMITTENT,2023-02-07,False
RMA-0000250,SKU-02014,ST-00735,RF_FAULT,2023-03-25,True
RMA-0000251,SKU-01480,ST-01700,FIRMWARE,2025-03-17,False
RMA-0000252,SKU-04845,ST-01028,OTHER,2023-07-19,True
RMA-0000253,SKU-01605,ST-00248,OTHER,2024-03-07,True
RMA-0000254,SKU-01068,ST-00774,OTHER,2024-03-12,True
RMA-0000255,SKU-00064,ST-01326,INTERMITTENT,2024-02-26,False
RMA-0000256,SKU-03709,ST-00934,RF_FAULT,2023-10-14,False
RMA-0000257,SKU-00952,ST-01204,MECH_DAMAGE,2023-07-19,True
RMA-0000258,SKU-01061,ST-00183,RF_FAULT,2023-03-12,True
RMA-0000259,SKU-04585,ST-00472,DOA,2025-07-01,False
RMA-0000260,SKU-04485,ST-01871,FIRMWARE,2023-07-31,True
RMA-0000261,SKU-03329,ST-01750,FIRMWARE,2023-03-04,True
RMA-0000262,SKU-02343,ST-01733,FIRMWARE,2023-03-07,True
RMA-0000263,SKU-04970,ST-01901,MECH_DAMAGE,2024-08-10,True
RMA-0000264,SKU-03116,ST-01102,MECH_DAMAGE,2023-04-25,True
RMA-0000265,SKU-01902,ST-00955,INTERMITTENT,2024-04-23,False
RMA-0000266,SKU-00473,ST-01767,RF_FAULT,2023-04-10,False
RMA-0000267,SKU-00854,ST-01633,DOA,2024-02-12,False
RMA-0000268,SKU-02863,ST-00773,NO_POWER,2025-05-14,False
RMA-0000269,SKU-03596,ST-01275,DOA,2025-08-21,True
RMA-0000270,SKU-01274,ST-00143,FIRMWARE,2025-06-16,True
RMA-0000271,SKU-00652,ST-00099,RF_FAULT,2025-07-17,True
RMA-0000272,SKU-02102,ST-00776,MECH_DAMAGE,2025-02-28,False
RMA-0000273,SKU-01992,ST-01659,RF_FAULT,2024-11-19,True
RMA-0000274,SKU-02642,ST-01104,OTHER,2024-07-01,False
RMA-0000275,SKU-03313,ST-00931,MECH_DAMAGE,2024-08-12,False
RMA-0000276,SKU-02512,ST-00124,NO_POWER,2024-09-22,False
RMA-0000277,SKU-02445,ST-01919,RF_FAULT,2023-03-31,True
RMA-0000278,SKU-04250,ST-01906,MECH_DAMAGE,2023-01-06,True
RMA-0000279,SKU-02243,ST-00918,RF_FAULT,2025-02-19,True
RMA-0000280,SKU-00277,ST-00024,OTHER,2025-02-05,True
RMA-0000281,SKU-02529,ST-00899,OTHER,2024-04-04,True
RMA-0000282,SKU-01399,ST-00365,OTHER,2024-06-28,True
RMA-0000283,SKU-00999,ST-01432,FIRMWARE,2025-08-15,True
RMA-0000284,SKU-03483,ST-00074,OTHER,2024-06-23,False
RMA-0000285,SKU-01645,ST-01243,DOA,2025-08-30,True
RMA-0000286,SKU-03710,ST-01041,DOA,2025-08-28,True
RMA-0000287,SKU-04151,ST-01014,FIRMWARE,2025-05-14,False
RMA-0000288,SKU-04149,ST-01360,NO_POWER,2025-07-02,True
RMA-0000289,SKU-01183,ST-01318,RF_FAULT,2024-10-15,True
RMA-0000290,SKU-03075,ST-00567,OVERHEAT,2025-04-12,True
RMA-0000291,SKU-02919,ST-01327,INTERMITTENT,2023-10-19,True
RMA-0000292,SKU-00366,ST-00598,INTERMITTENT,2023-11-03,True
RMA-0000293,SKU-00030,ST-00525,NO_POWER,2025-06-28,True
RMA-0000294,SKU-01408,ST-01143,NO_POWER,2025-01-26,False
RMA-0000295,SKU-04192,ST-00676,NO_POWER,2023-11-27,True
RMA-0000296,SKU-01578,ST-00720,NO_POWER,2025-04-30,True
RMA-0000297,SKU-03326,ST-00388,NO_POWER,2024-04-04,False
RMA-0000298,SKU-00216,ST-01772,RF_FAULT,2025-03-02,True
RMA-0000299,SKU-01121,ST-01622,INTERMITTENT,2023-05-01,False
RMA-0000300,SKU-03217,ST-00678,OVERHEAT,2023-11-14,True
RMA-0000301,SKU-04421,ST-01928,MECH_DAMAGE,2024-12-22,False
RMA-0000302,SKU-01565,ST-00480,OTHER,2024-01-05,True
RMA-0000303,SKU-00183,ST-01515,INTERMITTENT,2025-06-07,True
RMA-0000304,SKU-01814,ST-00635,DOA,2023-04-12,False
RMA-0000305,SKU-04076,ST-01847,NO_POWER,2024-04-23,True
RMA-0000306,SKU-04588,ST-01676,OTHER,2025-10-24,True
RMA-0000307,SKU-02116,ST-01740,FIRMWARE,2024-01-08,True
RMA-0000308,SKU-02168,ST-00748,RF_FAULT,2024-08-18,True
RMA-0000309,SKU-02818,ST-01326,OTHER,2025-02-23,True
RMA-0000310,SKU-00159,ST-00384,RF_FAULT,2023-12-31,True
RMA-0000311,SKU-01637,ST-01488,OTHER,2023-01-17,True
RMA-0000312,SKU-03147,ST-00305,DOA,2023-03-15,True
RMA-0000313,SKU-02179,ST-01748,OVERHEAT,2023-08-25,True
RMA-0000314,SKU-01342,ST-00907,DOA,2023-09-01,True
RMA-0000315,SKU-00845,ST-01101,INTERMITTENT,2024-07-12,False
RMA-0000316,SKU-01644,ST-01170,OVERHEAT,2025-04-07,False
RMA-0000317,SKU-03423,ST-00178,INTERMITTENT,2023-07-10,True
RMA-0000318,SKU-04960,ST-00934,INTERMITTENT,2023-06-28,True
RMA-0000319,SKU-01005,ST-00923,FIRMWARE,2025-02-06,True
RMA-0000320,SKU-00370,ST-01526,OTHER,2023-03-05,True
RMA-0000321,SKU-04564,ST-01764,RF_FAULT,2025-03-28,False
RMA-0000322,SKU-02299,ST-00176,NO_POWER,2023-02-27,True
RMA-0000323,SKU-04633,ST-01154,OTHER,2023-10-27,True
RMA-0000324,SKU-01473,ST-00187,INTERMITTENT,2025-04-12,True
RMA-0000325,SKU-01635,ST-00494,RF_FAULT,2024-11-29,True
RMA-0000326,SKU-02697,ST-00725,INTERMITTENT,2023-05-25,False
RMA-0000327,SKU-02742,ST-01553,INTERMITTENT,2023-05-23,False
RMA-0000328,SKU-00037,ST-00997,DOA,2025-05-05,True
RMA-0000329,SKU-00029,ST-01145,INTERMITTENT,2023-03-31,True
RMA-0000330,SKU-00781,ST-01244,INTERMITTENT,2023-03-20,False
RMA-0000331,SKU-02687,ST-00605,NO_POWER,2023-03-04,True
RMA-0000332,SKU-00374,ST-00403,OVERHEAT,2024-02-09,True
RMA-0000333,SKU-00046,ST-01666,RF_FAULT,2023-11-06,True
RMA-0000334,SKU-03432,ST-01533,OTHER,2023-04-18,True
RMA-0000335,SKU-00749,ST-01931,DOA,2024-08-28,True
RMA-0000336,SKU-01715,ST-00300,FIRMWARE,2024-12-31,False
RMA-0000337,SKU-04502,ST-01551,RF_FAULT,2024-01-20,True
RMA-0000338,SKU-02748,ST-01078,FIRMWARE,2024-03-09,True
RMA-0000339,SKU-00226,ST-00381,RF_FAULT,2023-11-04,False
RMA-0000340,SKU-01235,ST-01301,NO_POWER,2025-02-02,True
RMA-0000341,SKU-03107,ST-01226,INTERMITTENT,2024-03-16,True
RMA-0000342,SKU-00809,ST-00673,FIRMWARE,2025-04-04,True
RMA-0000343,SKU-00237,ST-00997,OVERHEAT,2023-11-25,True
RMA-0000344,SKU-02960,ST-01431,OTHER,2025-04-18,False
RMA-0000345,SKU-04653,ST-01994,FIRMWARE,2023-08-09,True
RMA-0000346,SKU-03613,ST-01935,INTERMITTENT,2025-04-15,True
RMA-0000347,SKU-04146,ST-01800,INTERMITTENT,2023-05-27,False
RMA-0000348,SKU-02080,ST-00664,FIRMWARE,2024-05-27,False
RMA-0000349,SKU-04483,ST-01442,RF_FAULT,2023-06-23,True
RMA-0000350,SKU-03790,ST-01732,RF_FAULT,2023-10-31,True
RMA-0000351,SKU-02008,ST-00933,INTERMITTENT,2024-05-27,False
RMA-0000352,SKU-03454,ST-01743,DOA,2025-04-25,True
RMA-0000353,SKU-03657,ST-01822,DOA,2024-10-30,False
RMA-0000354,SKU-00331,ST-01687,MECH_DAMAGE,2023-02-22,True
RMA-0000355,SKU-03031,ST-01772,FIRMWARE,2025-03-30,True
RMA-0000356,SKU-03000,ST-00839,DOA,2024-09-23,True
RMA-0000357,SKU-00418,ST-00302,NO_POWER,2025-06-23,False
RMA-0000358,SKU-01820,ST-01813,NO_POWER,2024-07-23,False
RMA-0000359,SKU-02590,ST-00067,RF_FAULT,2023-09-14,False
RMA-0000360,SKU-01093,ST-00313,MECH_DAMAGE,2025-05-29,True
RMA-0000361,SKU-03256,ST-01063,OTHER,2025-07-03,False
RMA-0000362,SKU-01784,ST-00498,DOA,2024-08-03,True
RMA-0000363,SKU-04642,ST-01035,OTHER,2025-08-05,False
RMA-0000364,SKU-02145,ST-00277,FIRMWARE,2024-09-21,False
RMA-0000365,SKU-04383,ST-00289,FIRMWARE,2023-12-05,True
RMA-0000366,SKU-00281,ST-00507,NO_POWER,2024-02-15,True
RMA-0000367,SKU-04186,ST-01849,FIRMWARE,2023-06-12,False
RMA-0000368,SKU-03456,ST-01620,INTERMITTENT,2023-11-05,True
RMA-0000369,SKU-04459,ST-00162,DOA,2024-03-17,True
RMA-0000370,SKU-04208,ST-00631,MECH_DAMAGE,2025-06-20,False
RMA-0000371,SKU-02847,ST-01100,DOA,2023-10-16,False
